open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume,symbol,open_time_formatted,close_time_formatted
1774005480000,70630.89,70686.43,70630.89,70663.3,2.33939,1774005539999,165302.4746433,2922,1.50803,106552.0383488,BTCUSDT,2026-03-20 11:18:00,2026-03-20 11:18:59.999
1774005540000,70663.3,70691.32,70663.3,70681.74,1.66516,1774005599999,117691.8325112,1647,0.90689,64095.3311127,BTCUSDT,2026-03-20 11:19:00,2026-03-20 11:19:59.999
1774005600000,70681.75,70694.0,70681.74,70694.0,1.63303,1774005659999,115438.2698934,1065,1.0903,77071.339582,BTCUSDT,2026-03-20 11:20:00,2026-03-20 11:20:59.999
1774005660000,70694.0,70709.81,70689.06,70709.8,5.47122,1774005719999,386766.101135,969,5.18132,366272.4052711,BTCUSDT,2026-03-20 11:21:00,2026-03-20 11:21:59.999
1774005720000,70709.8,70719.74,70696.97,70696.98,10.70568,1774005779999,757049.944022,733,0.44211,31262.0705841,BTCUSDT,2026-03-20 11:22:00,2026-03-20 11:22:59.999
1774005780000,70696.98,70697.73,70639.68,70645.97,12.34039,1774005839999,871967.9557991,2432,1.43282,101246.6320375,BTCUSDT,2026-03-20 11:23:00,2026-03-20 11:23:59.999
1774005840000,70645.97,70680.21,70636.01,70670.06,1.22782,1774005899999,86754.077221,1879,0.81854,57834.4487196,BTCUSDT,2026-03-20 11:24:00,2026-03-20 11:24:59.999
1774005900000,70670.06,70700.0,70670.06,70689.76,3.36047,1774005959999,237570.2682575,1224,0.56156,39693.3968407,BTCUSDT,2026-03-20 11:25:00,2026-03-20 11:25:59.999
1774005960000,70689.75,70725.82,70689.75,70719.97,4.75086,1774006019999,335956.7325856,1094,3.07836,217670.8956504,BTCUSDT,2026-03-20 11:26:00,2026-03-20 11:26:59.999
1774006020000,70719.97,70730.54,70692.0,70697.56,4.40349,1774006079999,311399.8784846,1855,2.03874,144175.6903135,BTCUSDT,2026-03-20 11:27:00,2026-03-20 11:27:59.999
1774006080000,70697.56,70706.16,70697.56,70704.39,1.66793,1774006139999,117929.4197386,693,0.82808,58548.1546946,BTCUSDT,2026-03-20 11:28:00,2026-03-20 11:28:59.999
1774006140000,70704.38,70718.53,70689.05,70713.03,6.05353,1774006199999,428032.1700311,1215,5.09878,360536.1538886,BTCUSDT,2026-03-20 11:29:00,2026-03-20 11:29:59.999
1774006200000,70713.02,70713.02,70680.73,70695.76,2.71151,1774006259999,191682.5279893,2086,1.78678,126310.8911824,BTCUSDT,2026-03-20 11:30:00,2026-03-20 11:30:59.999
1774006260000,70695.8,70718.07,70695.67,70705.69,4.84036,1774006319999,342238.7951934,1565,1.49553,105741.3374212,BTCUSDT,2026-03-20 11:31:00,2026-03-20 11:31:59.999
1774006320000,70705.69,70705.69,70682.25,70702.92,2.15599,1774006379999,152420.4804562,1748,1.16483,82349.8286993,BTCUSDT,2026-03-20 11:32:00,2026-03-20 11:32:59.999
1774006380000,70703.56,70712.04,70689.33,70689.33,2.57282,1774006439999,181914.8338624,739,0.84733,59906.5535963,BTCUSDT,2026-03-20 11:33:00,2026-03-20 11:33:59.999
1774006440000,70689.34,70711.82,70689.33,70709.55,2.0725,1774006499999,146543.0639067,1051,0.91016,64352.9420013,BTCUSDT,2026-03-20 11:34:00,2026-03-20 11:34:59.999
1774006500000,70709.56,70709.56,70691.61,70695.44,3.4074,1774006559999,240907.0120505,754,1.59095,112480.2421959,BTCUSDT,2026-03-20 11:35:00,2026-03-20 11:35:59.999
1774006560000,70695.44,70695.44,70624.12,70624.12,7.17742,1774006619999,507260.7826297,2634,1.03335,73033.7267211,BTCUSDT,2026-03-20 11:36:00,2026-03-20 11:36:59.999
1774006620000,70624.06,70624.07,70494.15,70495.08,28.05253,1774006679999,1979316.0738617,5500,6.84739,483023.7222391,BTCUSDT,2026-03-20 11:37:00,2026-03-20 11:37:59.999
1774006680000,70495.09,70507.94,70392.13,70392.13,61.2264,1774006739999,4313786.1662537,4664,12.30778,866904.1277367,BTCUSDT,2026-03-20 11:38:00,2026-03-20 11:38:59.999
1774006740000,70392.13,70407.18,70312.5,70338.69,31.0298,1774006799999,2183175.9626595,6573,7.30765,514063.6712945,BTCUSDT,2026-03-20 11:39:00,2026-03-20 11:39:59.999
1774006800000,70338.69,70390.77,70338.69,70390.77,7.0525,1774006859999,496204.7410969,2360,3.36642,236861.9963296,BTCUSDT,2026-03-20 11:40:00,2026-03-20 11:40:59.999
1774006860000,70390.76,70414.33,70338.76,70339.42,18.31554,1774006919999,1289114.2661422,3104,4.95587,348902.5556497,BTCUSDT,2026-03-20 11:41:00,2026-03-20 11:41:59.999
1774006920000,70339.43,70396.0,70329.28,70374.01,18.16103,1774006979999,1278040.3771022,2368,12.48718,878761.3406561,BTCUSDT,2026-03-20 11:42:00,2026-03-20 11:42:59.999
1774006980000,70374.01,70407.94,70371.0,70397.58,9.99792,1774007039999,703779.4561654,1352,4.99102,351331.5824095,BTCUSDT,2026-03-20 11:43:00,2026-03-20 11:43:59.999
1774007040000,70397.58,70399.19,70378.07,70395.29,4.54436,1774007099999,319886.6888328,1339,1.60137,112716.9083518,BTCUSDT,2026-03-20 11:44:00,2026-03-20 11:44:59.999
1774007100000,70395.29,70403.04,70350.54,70358.67,7.62339,1774007159999,536445.7276532,2280,1.37563,96802.8189268,BTCUSDT,2026-03-20 11:45:00,2026-03-20 11:45:59.999
1774007160000,70358.67,70358.68,70350.55,70356.12,10.07477,1774007219999,708809.1515608,890,1.52292,107145.9178309,BTCUSDT,2026-03-20 11:46:00,2026-03-20 11:46:59.999
1774007220000,70356.13,70356.13,70303.36,70309.91,2.76924,1774007279999,194754.3871945,1662,0.92831,65286.5705645,BTCUSDT,2026-03-20 11:47:00,2026-03-20 11:47:59.999
1774007280000,70309.9,70363.91,70309.9,70363.91,7.43738,1774007339999,523234.3111679,2151,6.18092,434850.7097752,BTCUSDT,2026-03-20 11:48:00,2026-03-20 11:48:59.999
1774007340000,70363.91,70371.08,70337.34,70360.04,20.80567,1774007399999,1463847.2536499,2171,5.72257,402621.4339483,BTCUSDT,2026-03-20 11:49:00,2026-03-20 11:49:59.999
1774007400000,70360.03,70361.32,70331.26,70336.23,2.19865,1774007459999,154666.4095033,1285,1.30122,91534.0823299,BTCUSDT,2026-03-20 11:50:00,2026-03-20 11:50:59.999
1774007460000,70336.22,70364.07,70330.4,70364.07,1.52783,1774007519999,107466.8447726,1481,1.04094,73218.953325,BTCUSDT,2026-03-20 11:51:00,2026-03-20 11:51:59.999
1774007520000,70364.06,70391.41,70349.45,70383.46,4.00553,1774007579999,281870.4852131,1640,3.38902,238485.9981156,BTCUSDT,2026-03-20 11:52:00,2026-03-20 11:52:59.999
1774007580000,70383.47,70410.08,70383.46,70404.45,3.32722,1774007639999,234233.3310466,743,1.41451,99585.1548377,BTCUSDT,2026-03-20 11:53:00,2026-03-20 11:53:59.999
