symbol,price,price_change,price_change_percent,volume,quote_volume,high,low,open,weighted_avg_price,count,timestamp
FETUSDT,0.227,-0.0039,-1.689,88646301.4,21162929.34457,0.25,0.2268,0.2309,0.23873449,192624,2026-04-07 07:00:17
RENDERUSDT,1.861,-0.009,-0.481,5318578.06,10305573.7321,1.999,1.859,1.87,1.93765582,48941,2026-04-07 07:00:17
INJUSDT,2.851,0.051,1.821,711698.01,2065521.82788,2.975,2.795,2.8,2.90224477,22329,2026-04-07 07:00:17
TAOUSDT,311.1,4.2,1.369,197123.484,62812529.71897,330.0,305.5,306.9,318.64559435,391720,2026-04-07 07:00:17
TRUUSDT,0.0093,0.004,75.472,3542219338.0,34836906.1603,0.0134,0.0053,0.0053,0.00983477,185411,2026-04-07 07:00:17
HBARUSDT,0.08736,4e-05,0.046,87021760.0,7735653.07354,0.09016,0.08719,0.08732,0.08889332,75338,2026-04-07 07:00:17
REDUSDT,0.1761,0.0739,72.309,218974158.9,36731869.60517,0.2345,0.1022,0.1022,0.16774523,481644,2026-04-07 07:00:17
ZECUSDT,249.81,7.21,2.972,207244.92,52538485.69172,260.78,242.0,242.6,253.50916052,223568,2026-04-07 07:00:17
JTOUSDT,0.2681,-0.0034,-1.252,2866457.3,789496.65946,0.2796,0.2681,0.2715,0.27542593,6863,2026-04-07 07:00:17
STOUSDT,0.1554,-0.0057,-3.538,260263872.2,40970057.66926,0.176,0.1434,0.1611,0.15741738,344458,2026-04-07 07:00:17
TONUSDT,1.234,-0.012,-0.963,6505574.94,8123770.71495,1.267,1.226,1.246,1.24873986,38571,2026-04-07 07:00:17
STRKUSDT,0.0326,-0.0004,-1.212,41387323.35,1386423.315523,0.0342,0.0326,0.033,0.03349874,6577,2026-04-07 07:00:17
AAVEUSDT,93.34,0.25,0.269,92394.924,8851031.81166,98.05,92.77,93.09,95.79565011,106790,2026-04-07 07:00:17
SUIUSDT,0.8759,0.0189,2.205,35410544.6,31675837.50245,0.9232,0.856,0.857,0.89453122,216631,2026-04-07 07:00:17
APTUSDT,0.838,-0.004,-0.475,4595687.36,3948423.26724,0.881,0.838,0.842,0.85915837,18177,2026-04-07 07:00:17
ZROUSDT,1.779,-0.061,-3.315,2119168.58,3983219.83772,1.939,1.778,1.84,1.87961443,27673,2026-04-07 07:00:17
APEUSDT,0.0835,-0.0012,-1.417,11015841.17,945515.924502,0.0873,0.0835,0.0847,0.08583239,10680,2026-04-07 07:00:17
DYDXUSDT,0.0947,-0.0058,-5.771,22350600.36,2258329.466362,0.1039,0.0947,0.1005,0.10104111,9014,2026-04-07 07:00:17
