symbol,price,price_change,price_change_percent,volume,quote_volume,high,low,open,weighted_avg_price,count,timestamp
BTCUSDT,68783.63,367.36,0.537,21075.63665,1462860786.1223502,70351.46,68266.13,68416.27,69410.0401528,4711775,2026-04-07 07:00:11
ETHUSDT,2103.35,14.18,0.679,361175.0867,772474202.409,2174.79,2082.35,2089.17,2138.78041663,5381021,2026-04-07 07:00:11
SOLUSDT,80.14,-0.48,-0.595,2807983.261,230387041.91895,83.2,80.13,80.62,82.04715645,867620,2026-04-07 07:00:11
BNBUSDT,599.54,2.4,0.402,109223.125,65997869.04128,610.29,596.79,597.14,604.24813007,776815,2026-04-07 07:00:11
XRPUSDT,1.3168,0.0031,0.236,108747186.4,145795201.72325,1.3577,1.3116,1.3137,1.34068022,602364,2026-04-07 07:00:11
DOGEUSDT,0.09033,-0.00116,-1.268,733603093.0,67828558.89656,0.09362,0.0903,0.09149,0.09245948,576397,2026-04-07 07:00:11
ADAUSDT,0.2471,0.0004,0.162,152598686.4,38932649.38124,0.2601,0.2456,0.2467,0.25513096,157604,2026-04-07 07:00:11
AVAXUSDT,9.11,0.14,1.561,3283229.2,30894771.8258,9.66,8.94,8.97,9.40987362,101083,2026-04-07 07:00:11
DOTUSDT,1.243,0.005,0.404,5614753.29,7172638.77597,1.317,1.235,1.238,1.27746286,40411,2026-04-07 07:00:11
NEARUSDT,1.247,0.004,0.322,10630110.3,13537422.8563,1.302,1.238,1.243,1.27349787,69470,2026-04-07 07:00:11
