Metric,Value,Notes
Overall System WR,34.9%,172 wins / 321 losses (493 trades)
Crypto WR,41.6%,385 trades - best asset class
Forex WR,33.3%,18 trades - underwater
Equity WR,4.6%,65 trades - catastrophic
Commodity WR,14.3%,21 trades - losing
Untracked Picks,"1,541",Showing 0% WR - no validation
Tracked Picks,"10,938",Weighted avg WR: 44.3%
ML BNBUSDT WR,94.1%,"17 trades, p=0.0001 - SIGNIFICANT"
ML FETUSDT WR,93.8%,"16 trades, p=0.0003 - SIGNIFICANT"
ML RENDER WR,87.5%,"16 trades, p=0.002 - SIGNIFICANT"
NMTD Copy WR,81.3%,"16 trades, p=0.011 - SIGNIFICANT"
High Conf (80+) WR,59.2%,"120 trades, p=0.027 - SIGNIFICANT"
5+ Consensus WR,82-100%,25 trades - highest conviction
Projected WR (Fixed),52-58%,If top 5 issues resolved
