symbol,sector,market_cap_tier
AAPL,tech,mega
MSFT,tech,mega
NVDA,tech,mega
GOOGL,tech,mega
GOOG,tech,mega
AMZN,tech,mega
META,tech,mega
TSLA,tech,mega
AVGO,tech,large
ORCL,tech,large
CRM,tech,large
ADBE,tech,large
AMD,tech,large
INTC,tech,large
QCOM,tech,large
TXN,tech,large
MU,tech,large
LRCX,tech,large
KLAC,tech,large
AMAT,tech,large
MRVL,tech,large
CDNS,tech,large
ANSS,tech,large
FTNT,tech,large
PANW,tech,large
SNPS,tech,large
TEAM,tech,large
WDAY,tech,large
DDOG,tech,large
ZS,tech,large
JPM,financials,large
BAC,financials,large
WFC,financials,large
GS,financials,large
MS,financials,large
AXP,financials,large
BLK,financials,large
SPGI,financials,large
MCO,financials,large
V,financials,large
MA,financials,large
PYPL,financials,large
C,financials,large
USB,financials,large
TFC,financials,large
PNC,financials,large
COF,financials,large
SCHW,financials,large
ICE,financials,large
CME,financials,large
UNH,healthcare,large
JNJ,healthcare,large
LLY,healthcare,large
ABBV,healthcare,large
MRK,healthcare,large
TMO,healthcare,large
DHR,healthcare,large
ABT,healthcare,large
BMY,healthcare,large
AMGN,healthcare,large
ISRG,healthcare,large
MDT,healthcare,large
EW,healthcare,large
IQV,healthcare,large
IDXX,healthcare,large
GEHC,healthcare,large
HUM,healthcare,large
CI,healthcare,large
CVS,healthcare,large
ANTM,healthcare,large
WMT,consumer,large
HD,consumer,large
COST,consumer,large
TGT,consumer,large
LOW,consumer,large
NKE,consumer,large
MCD,consumer,large
SBUX,consumer,large
YUM,consumer,large
ROST,consumer,large
TJX,consumer,large
BKNG,consumer,large
HLT,consumer,large
MAR,consumer,large
ABNB,consumer,large
EXPE,consumer,large
DIS,communication,large
NFLX,communication,large
CMCSA,communication,large
XOM,energy,large
CVX,energy,large
COP,energy,large
EOG,energy,large
SLB,energy,large
MPC,energy,large
VLO,energy,large
PSX,energy,large
OXY,energy,large
DVN,energy,large
HAL,energy,large
BKR,energy,large
FANG,energy,large
PXD,energy,large
APA,energy,large
CAT,industrials,large
DE,industrials,large
HON,industrials,large
RTX,industrials,large
LMT,industrials,large
GE,industrials,large
ETN,industrials,large
PH,industrials,large
EMR,industrials,large
ROK,industrials,large
ITW,industrials,large
TDG,industrials,large
GD,industrials,large
NOC,industrials,large
BA,industrials,large
UPS,industrials,large
FDX,industrials,large
CSX,industrials,large
NSC,industrials,large
UNP,industrials,large
FCX,materials,large
NEM,materials,large
APD,materials,large
SHW,materials,large
ECL,materials,large
PPG,materials,large
LIN,materials,large
DOW,materials,large
CTVA,materials,large
CF,materials,large
NEE,utilities,large
DUK,utilities,large
SO,utilities,large
EXC,utilities,large
AEP,utilities,large
SRE,utilities,large
PCG,utilities,large
XEL,utilities,large
WEC,utilities,large
ES,utilities,large
AMT,realestate,large
PLD,realestate,large
EQIX,realestate,large
CCI,realestate,large
SPG,realestate,large
O,realestate,large
VICI,realestate,large
PSA,realestate,large
EQR,realestate,large
AVB,realestate,large
T,communication,large
VZ,communication,large
CHTR,communication,large
TMUS,communication,large
WBD,communication,large
BRK.B,conglomerate,large
LEN,homebuilders,large
DHI,homebuilders,large
NVR,homebuilders,large
PHM,homebuilders,large
TOL,homebuilders,large
ANET,tech,large
MELI,tech,large
SHOP,tech,large
SQ,tech,large
COIN,tech,large
HOOD,tech,large
RBLX,tech,large
UBER,tech,large
LYFT,tech,large
DASH,tech,large
ZM,tech,large
DOCU,tech,large
OKTA,tech,large
SNOW,tech,large
PLTR,tech,large
PATH,tech,large
S,tech,large
NET,tech,large
CRWD,tech,large
HUBS,tech,large
DDOG,tech,large
ZS,tech,large
MDB,tech,large
GTLB,tech,large
TTD,tech,large
APP,tech,large
CELH,consumer,large
ELF,consumer,large
DUOL,tech,large
HES,energy,large
MRO,energy,large
VICI,realestate,large
IRM,realestate,large
MPWR,tech,large
ENPH,energy,large
FSLR,energy,large
