CRYPTO SQUEEZE RESEARCH
BTC-USD 4h: WR=35.0%, Return=-1.6%, Trades=20
BTC-USD 1d: WR=33.3%, Return=-0.3%, Trades=3
ETH-USD 4h: WR=25.8%, Return=-3.7%, Trades=31
ETH-USD 1d: WR=42.9%, Return=3.6%, Trades=7
SOL-USD 4h: WR=33.3%, Return=-5.2%, Trades=18
SOL-USD 1d: WR=25.0%, Return=-3.7%, Trades=4
BNB-USD 4h: WR=39.1%, Return=0.9%, Trades=23
BNB-USD 1d: WR=0.0%, Return=-3.5%, Trades=3
LINK-USD 4h: WR=17.4%, Return=-14.6%, Trades=23
LINK-USD 1d: WR=0.0%, Return=-8.0%, Trades=6

FOREX REVERSION RESEARCH
EURUSD=X 1h: WR=67.4%, Return=-3.5%, Trades=138
GBPUSD=X 1h: WR=68.0%, Return=-3.8%, Trades=128
USDJPY=X 1h: WR=58.7%, Return=-4.4%, Trades=143
AUDUSD=X 1h: WR=64.7%, Return=-3.0%, Trades=133

STOCK MOMENTUM RESEARCH
AAPL 1d: WR=28.6%, Return=-1.0%, Trades=7
MSFT 1d: WR=66.7%, Return=1.6%, Trades=3
NVDA 1d: WR=0.0%, Return=-0.6%, Trades=1
TSLA 1d: WR=100.0%, Return=0.9%, Trades=1
AMD 1d: WR=33.3%, Return=5.3%, Trades=6
META 1d: WR=25.0%, Return=-1.9%, Trades=4
GOOGL 1d: WR=100.0%, Return=8.4%, Trades=3

