
--- Heartbeat 2026-03-26T07:28:18.874792 ---
Score Leaders | 25 trades | WR: 28.0% | PnL: -1.5%
Proven Only | 24 trades | WR: 33.3% | PnL: -1.02%
Momentum Riders | 18 trades | WR: 33.3% | PnL: -1.01%
Contrarian | 30 trades | WR: 26.7% | PnL: -3.79%
Regime Aligned | 27 trades | WR: 33.3% | PnL: -2.14%
High Conviction | 31 trades | WR: 22.6% | PnL: -4.51%
R:R Kings | 13 trades | WR: 38.5% | PnL: -3.08%
Consensus Plays | 24 trades | WR: 25.0% | PnL: -1.96%
Fresh Signals | 38 trades | WR: 28.9% | PnL: -3.36%
Sector Rotation | 16 trades | WR: 50.0% | PnL: 0.38%
Anti-Meme | 30 trades | WR: 16.7% | PnL: -4.54%
Claude's Best | 20 trades | WR: 40.0% | PnL: -0.58%
Deep Drawdown DCA | 4 trades | WR: 50.0% | PnL: -1.69%
RSI Capitulation Sniper | 12 trades | WR: 41.7% | PnL: 2.09%
Fear & Greed Contrarian | 4 trades | WR: 100.0% | PnL: 1.72%
Relative Strength Recovery | 2 trades | WR: 100.0% | PnL: 1.71%
Beaten Majors Long-Only | 1 trades | WR: 100.0% | PnL: 1.79%
Hoffman Elite Combo | 14 trades | WR: 42.9% | PnL: 0.54%
HTF Trend Follower | 11 trades | WR: 18.2% | PnL: -2.29%
HTF Weekly Momentum | 10 trades | WR: 40.0% | PnL: 0.97%
Prop: Conservative | 21 trades | WR: 28.6% | PnL: -0.68%
Prop: Aggressive | 24 trades | WR: 16.7% | PnL: -2.13%
Prop: Swing Trader | 6 trades | WR: 50.0% | PnL: 0.31%
Stocks: Best Picks | 5 trades | WR: 20.0% | PnL: -0.82%
Stocks: Short-Term Reversal | 4 trades | WR: 0.0% | PnL: -1.63%
Forex: Carry & Momentum | 6 trades | WR: 0.0% | PnL: -0.27%
Multi-Asset: Diversified | 11 trades | WR: 0.0% | PnL: -1.53%
Futures: Index & Commodities | 0 trades | WR: 0% | PnL: 0.0%
ETFs: Sector Rotation | 0 trades | WR: 0% | PnL: 0.0%
Tournament: All Assets | 10 trades | WR: 10.0% | PnL: -0.22%
Regime Filtered | 14 trades | WR: 42.9% | PnL: -0.28%
High Consensus | 17 trades | WR: 29.4% | PnL: 0.28%
Golden Only | 4 trades | WR: 25.0% | PnL: -0.02%
Small Position | 11 trades | WR: 27.3% | PnL: -0.24%
Sentiment Divergence | 3 trades | WR: 0.0% | PnL: -0.21%
Basis & Carry | 12 trades | WR: 16.7% | PnL: -1.72%
