feature,coef,mean,std,abs_coef
grade_code,2.0991974829997346,0.3020969855832241,0.4718367734613201,2.0991974829997346
Confluence Count,0.3062634723737424,1.203145478374836,0.6758446497765491,0.3062634723737424
trust_code,0.2849318705768818,0.9115334207077327,1.3740377335364107,0.2849318705768818
tf_SCALP,-0.2808165510431671,0.002621231979030144,0.05113082359929529,0.2808165510431671
is_long,0.26453004995956236,0.8748361730013107,0.33090458354294755,0.26453004995956236
tf_POSITION,-0.20420650983177713,0.001310615989515072,0.036178699192247074,0.20420650983177713
tf_SWING,0.05529972902522808,0.6874180865006553,0.46354553266365633,0.05529972902522808
Forward Trades,0.015653997707402535,0.4567496723460026,5.201361191333436,0.015653997707402535
tf_INTRADAY,-0.008415953449680205,0.3086500655307995,0.46193636204420263,0.008415953449680205
entry_score,0.0,0.0,1.0,0.0
comp_strategy,0.0,0.0,1.0,0.0
Forward WR,0.0,0.0,1.0,0.0
comp_timeframe,0.0,0.0,1.0,0.0
comp_noconflict,0.0,0.0,1.0,0.0
comp_forward,0.0,0.0,1.0,0.0
comp_signal,0.0,0.0,1.0,0.0
comp_consensus,0.0,0.0,1.0,0.0
short_in_bull,0.0,0.0,1.0,0.0
