Top Portfolios:
1. HTF Weekly Momentum: PnL 1.21% | WR 0% | Sharpe 0.0 | Trades 0
2. Consensus Plays: PnL 0.77% | WR 100.0% | Sharpe 0.0 | Trades 3
3. RSI Capitulation Sniper: PnL 0.76% | WR 0% | Sharpe 0.0 | Trades 0
4. Proven Only: PnL 0.68% | WR 100.0% | Sharpe 0.0 | Trades 3
5. Deep Drawdown DCA: PnL 0.68% | WR 0% | Sharpe 0.0 | Trades 0
6. R:R Kings: PnL 0.57% | WR 100.0% | Sharpe 0.0 | Trades 1
7. Fear & Greed Contrarian: PnL 0.51% | WR 0% | Sharpe 0.0 | Trades 0
8. Claude's Best: PnL 0.39% | WR 66.7% | Sharpe 0.0 | Trades 3
9. Relative Strength Recovery: PnL 0.37% | WR 0% | Sharpe 0.0 | Trades 0
10. Sector Rotation: PnL 0.35% | WR 66.7% | Sharpe 0.0 | Trades 3
11. Beaten Majors Long-Only: PnL 0.3% | WR 0% | Sharpe 0.0 | Trades 0
12. Fresh Signals: PnL 0.28% | WR 66.7% | Sharpe 0.0 | Trades 3
13. Anti-Meme: PnL 0.28% | WR 66.7% | Sharpe 0.0 | Trades 3
14. Hoffman Elite Combo: PnL 0.26% | WR 50.0% | Sharpe 0.0 | Trades 2
15. High Conviction: PnL 0.23% | WR 50.0% | Sharpe 0.0 | Trades 2
16. Regime Aligned: PnL 0.22% | WR 50.0% | Sharpe 0.0 | Trades 4
17. Momentum Riders: PnL 0.2% | WR 100.0% | Sharpe 0.0 | Trades 1
18. Score Leaders: PnL 0.16% | WR 50.0% | Sharpe 0.0 | Trades 4
19. Prop: Conservative: PnL 0.1% | WR 66.7% | Sharpe 0.0 | Trades 3
20. Prop: Aggressive: PnL 0.06% | WR 50.0% | Sharpe 0.0 | Trades 2
21. Contrarian: PnL 0.0% | WR 0% | Sharpe 0.0 | Trades 0
22. Futures: Index & Commodities: PnL 0.0% | WR 0% | Sharpe 0.0 | Trades 0
23. ETFs: Sector Rotation: PnL 0.0% | WR 0% | Sharpe 0.0 | Trades 0
24. HTF Trend Follower: PnL -0.01% | WR 0% | Sharpe 0.0 | Trades 0
25. Prop: Swing Trader: PnL -0.05% | WR 33.3% | Sharpe 0.0 | Trades 3
26. Tournament: All Assets: PnL -0.05% | WR 0% | Sharpe 0.0 | Trades 0
27. Forex: Carry & Momentum: PnL -0.08% | WR 0.0% | Sharpe 0.0 | Trades 1
28. Multi-Asset: Diversified: PnL -0.32% | WR 0.0% | Sharpe 0.0 | Trades 2
29. Stocks: Short-Term Reversal: PnL -0.36% | WR 0.0% | Sharpe 0.0 | Trades 1
30. Stocks: Best Picks: PnL -0.41% | WR 0.0% | Sharpe 0.0 | Trades 1
