strategy,symbol,direction,timeframe,system,pnl%
hs_PensionFund_24M,HYPEUSDT,LONG,UNK,copy_trader_highscore,-0.33
hs_ABC_41M,METISUSDT,LONG,UNK,copy_trader_highscore,-1.0
hs_lb_None,HYPEUSDT,LONG,UNK,copy_trader_highscore,3.5
hs_Auros_66M,ENAUSDT,LONG,UNK,copy_trader_highscore,-1.0
hs_Auros_66M,PENGUUSDT,LONG,UNK,copy_trader_highscore,-1.0
hs_whale_13M_new,ETHUSDT,SHORT,UNK,copy_trader_highscore,2.5
hs_lb_None,HYPEUSDT,LONG,UNK,copy_trader_highscore,3.5
hs_lb_None,ONDOUSDT,SHORT,UNK,copy_trader_highscore,0.5
hs_Auros_66M,ONDOUSDT,LONG,UNK,copy_trader_highscore,-0.08
hs_Auros_66M,BTCUSDT,LONG,UNK,copy_trader_highscore,-1.0
hs_Auros_66M,RENDERUSDT,LONG,UNK,copy_trader_highscore,2.5
hs_ABC_41M,HYPEUSDT,LONG,UNK,copy_trader_highscore,-1.0
hs_Auros_66M,NEARUSDT,LONG,UNK,copy_trader_highscore,-1.0
hs_Auros_66M,BNBUSDT,LONG,UNK,copy_trader_highscore,-1.0
hs_Auros_66M,AVAXUSDT,LONG,UNK,copy_trader_highscore,-1.0
hs_Auros_66M,LINKUSDT,LONG,UNK,copy_trader_highscore,-1.0
hs_Auros_66M,SUIUSDT,LONG,UNK,copy_trader_highscore,-1.0
hs_lb_None,ONDOUSDT,SHORT,UNK,copy_trader_highscore,0.04
hs_lb_None,ETHUSDT,LONG,UNK,copy_trader_highscore,-2.0
hs_lb_None,HYPEUSDT,LONG,UNK,copy_trader_highscore,3.5
hs_lb_None,RENDERUSDT,SHORT,UNK,copy_trader_highscore,3.5
hs_lb_None,FETUSDT,SHORT,UNK,copy_trader_highscore,3.5
hs_lb_None,VIRTUALUSDT,SHORT,UNK,copy_trader_highscore,-2.0
hs_lb_None,ZECUSDT,SHORT,UNK,copy_trader_highscore,3.5
hs_lb_None,DASHUSDT,SHORT,UNK,copy_trader_highscore,3.5
hs_lb_None,POPCATUSDT,SHORT,UNK,copy_trader_highscore,3.5
hs_lb_None,CELOUSDT,SHORT,UNK,copy_trader_highscore,-2.0
hs_lb_None,AXSUSDT,SHORT,UNK,copy_trader_highscore,3.5
hs_lb_None,SOLUSDT,SHORT,UNK,copy_trader_highscore,-2.0
hs_lb_None,LINKUSDT,SHORT,UNK,copy_trader_highscore,-2.0
hs_lb_None,DOTUSDT,SHORT,UNK,copy_trader_highscore,-2.0
hs_lb_None,KASUSDT,SHORT,UNK,copy_trader_highscore,3.5
hs_lb_None,JTOUSDT,SHORT,UNK,copy_trader_highscore,3.5
hs_lb_None,WIFUSDT,SHORT,UNK,copy_trader_highscore,-2.0
hs_lb_None,POLUSDT,SHORT,UNK,copy_trader_highscore,-2.0
hs_lb_None,MOODENGUSDT,SHORT,UNK,copy_trader_highscore,-2.0
hs_lb_None,SANDUSDT,SHORT,UNK,copy_trader_highscore,-2.0
hs_lb_None,ALGOUSDT,SHORT,UNK,copy_trader_highscore,-2.0
hs_lb_None,FARTCOINUSDT,SHORT,UNK,copy_trader_highscore,-2.0
hs_lb_None,LAYERUSDT,SHORT,UNK,copy_trader_highscore,-2.0
hs_lb_None,ICPUSDT,SHORT,UNK,copy_trader_highscore,-2.0
hs_lb_None,WLDUSDT,SHORT,UNK,copy_trader_highscore,3.5
hs_lb_None,BRETTUSDT,SHORT,UNK,copy_trader_highscore,3.5
hs_lb_None,PNUTUSDT,SHORT,UNK,copy_trader_highscore,3.5
hs_lb_None,APEUSDT,SHORT,UNK,copy_trader_highscore,-2.0
hs_lb_None,OPUSDT,SHORT,UNK,copy_trader_highscore,-2.0
hs_lb_None,ARBUSDT,SHORT,UNK,copy_trader_highscore,-2.0
hs_lb_None,INJUSDT,SHORT,UNK,copy_trader_highscore,-2.0
hs_lb_None,CRVUSDT,SHORT,UNK,copy_trader_highscore,-2.0
hs_lb_None,LDOUSDT,SHORT,UNK,copy_trader_highscore,-2.0
hs_lb_None,APTUSDT,SHORT,UNK,copy_trader_highscore,-2.0
hs_lb_None,AAVEUSDT,SHORT,UNK,copy_trader_highscore,-2.0
hs_lb_None,UNIUSDT,SHORT,UNK,copy_trader_highscore,-2.0
hs_lb_None,BLURUSDT,SHORT,UNK,copy_trader_highscore,-2.0
hs_lb_None,TIAUSDT,SHORT,UNK,copy_trader_highscore,-2.0
hs_lb_None,FILUSDT,SHORT,UNK,copy_trader_highscore,-2.0
hs_lb_None,SUSHIUSDT,SHORT,UNK,copy_trader_highscore,-2.0
hs_lb_None,IMXUSDT,SHORT,UNK,copy_trader_highscore,-2.0
hs_lb_None,JUPUSDT,SHORT,UNK,copy_trader_highscore,-2.0
hs_lb_None,GALAUSDT,SHORT,UNK,copy_trader_highscore,-2.0
hs_lb_None,ENSUSDT,SHORT,UNK,copy_trader_highscore,-2.0
hs_lb_None,ENAUSDT,SHORT,UNK,copy_trader_highscore,-2.0
