strategy,symbol,direction,timeframe,system,pnl%
goldmine_6x_consensus,GOOGL,LONG,UNK,goldmine_stocks,-0.5588
goldmine_6x_consensus,PFE,LONG,UNK,goldmine_stocks,-1.1829
goldmine_6x_consensus,MRK,LONG,UNK,goldmine_stocks,-1.9352
goldmine_5x_consensus,COST,LONG,UNK,goldmine_stocks,-0.148
goldmine_5x_consensus,MS,LONG,UNK,goldmine_stocks,1.2505
goldmine_6x_consensus,ABBV,LONG,UNK,goldmine_stocks,-2.5473
goldmine_5x_consensus,PLD,LONG,UNK,goldmine_stocks,0.229
goldmine_5x_consensus,GS,LONG,UNK,goldmine_stocks,0.3762
goldmine_6x_consensus,NEE,LONG,UNK,goldmine_stocks,-3.3586
goldmine_6x_consensus,JNJ,LONG,UNK,goldmine_stocks,-3.3672
goldmine_6x_consensus,ABBV,LONG,UNK,goldmine_stocks,-3.0453
goldmine_6x_consensus,JNJ,LONG,UNK,goldmine_stocks,-4.194
goldmine_6x_consensus,ABBV,LONG,UNK,goldmine_stocks,-3.2628
goldmine_6x_consensus,MRK,LONG,UNK,goldmine_stocks,-4.2192
goldmine_6x_consensus,JNJ,LONG,UNK,goldmine_stocks,-4.6197
goldmine_6x_consensus,JNJ,LONG,UNK,goldmine_stocks,-4.7608
goldmine_5x_consensus,GS,LONG,UNK,goldmine_stocks,-2.0166
goldmine_6x_consensus,JNJ,LONG,UNK,goldmine_stocks,-4.9612
goldmine_6x_consensus,XOM,LONG,UNK,goldmine_stocks,-4.5255
goldmine_6x_consensus,XOM,LONG,UNK,goldmine_stocks,-5.1806
goldmine_7x_consensus,XOM,LONG,UNK,goldmine_stocks,-5.5894
goldmine_6x_consensus,CVX,LONG,UNK,goldmine_stocks,-3.6894
goldmine_6x_consensus,CVX,LONG,UNK,goldmine_stocks,-3.2973
goldmine_1x_consensus,XLE,LONG,UNK,goldmine_stocks,-5.77
