strategy,symbol,total_return,sharpe_ratio,max_drawdown,win_rate,profit_factor,num_trades,avg_trade
KeltnerRSIConfluence,BTC,0.0,0.0,0.0,0.0,0.0,0,0
KeltnerRSIConfluence,ETH,0.0,0.0,0.0,0.0,0.0,0,0
KeltnerRSIConfluence,SOL,0.0,0.0,0.0,0.0,0.0,0,0
ConnorsR4MeanReversion,BTC,6.444730320420276,0.22028563552017152,13.113018472015822,0.0,0.0,0,0
ConnorsR4MeanReversion,ETH,8.59368202732987,0.24384873424410386,16.483213545792523,0.0,0.0,0,0
ConnorsR4MeanReversion,SOL,10.233470121307219,0.2580152557083211,19.83499421382723,0.0,0.0,0,0
SuperTrendMultiTimeframe,BTC,0.0,0.0,0.0,0.0,0.0,0,0
SuperTrendMultiTimeframe,ETH,0.0,0.0,0.0,0.0,0.0,0,0
SuperTrendMultiTimeframe,SOL,0.0,0.0,0.0,0.0,0.0,0,0
VolScaledKeltner,BTC,9.3723726672074,0.2681077100770707,42.58453912219113,0.0,0.0,0,0
VolScaledKeltner,ETH,11.250398724643656,0.3186736704284557,51.38460181271264,0.0,0.0,0,0
VolScaledKeltner,SOL,15.446669465852029,0.3811922029351799,58.07564129370165,0.0,0.0,0,0
