Strategy,Symbol,Trades,Win Rate,Total Return,Sharpe,Max DD,Profit Factor,Avg Trade
VolatilityRegimeSwitch,BTC,39,0.5897435897435898,0.2123848497710458,6.136252568620068,0.024008740673219175,2.3204634581000767,0.05034930101283454
MarketStructureVolume,SOL,7,0.7142857142857143,0.03393325636382251,4.133042259471901,0.02932967441867166,1.7712633369785427,0.049608030002074525
RelativeStrengthRotation,BTC,66,0.5151515151515151,0.2645350436421766,4.057138145323029,0.051084188624045936,1.7939199867750957,0.036646174426509394
MultiTimeframeConfluence,SOL,32,0.53125,0.12709998352738275,2.930832775783864,0.061846413639059614,1.530285848301512,0.039768597327919965
AdaptiveMomentum,BTC,33,0.5757575757575758,0.08487243789316799,2.549340015682249,0.06559017583499811,1.4591301110431345,0.02602475929443024
RelativeStrengthRotation,ETH,69,0.5072463768115942,0.09410697016134,1.3080715602374042,0.10557049289978179,1.1956340789153421,0.014613437660572983
VolumeProfileDeviation,ETH,55,0.36363636363636365,0.029220886832865837,0.7094367426088005,0.06975705186284858,1.1114284310415927,0.006187161015578481
MarketStructureVolume,BTC,10,0.5,0.005281058376592046,0.5880728393571056,0.03435293825218887,1.086322382550221,0.007123842782502737
MultiTimeframeConfluence,BTC,27,0.37037037037037035,0.008050490531062314,0.45766209968059657,0.05594644831387984,1.067584607342421,0.0038624897563137185
LiquiditySweepReversal,ETH,0,0.0,0.0,0.0,0.0,0.0,0.0
RangeExpansionBreakout,ETH,0,0.0,0.0,0.0,0.0,0.0,0.0
RangeExpansionBreakout,SOL,0,0.0,0.0,0.0,0.0,0.0,0.0
OrderBlockRetest,SOL,0,0.0,0.0,0.0,0.0,0.0,0.0
LiquiditySweepReversal,SOL,1,0.0,-0.03407922018325444,0.0,0.03407922018325444,0.0,-0.34079220183254433
RangeExpansionBreakout,BTC,0,0.0,0.0,0.0,0.0,0.0,0.0
OrderBlockRetest,BTC,0,0.0,0.0,0.0,0.0,0.0,0.0
LiquiditySweepReversal,BTC,0,0.0,0.0,0.0,0.0,0.0,0.0
VolumeProfileDeviation,BTC,57,0.3508771929824561,-0.04532441715261193,-1.1487387924301133,0.06370381691008593,0.847090336768346,-0.007587537301170687
MultiTimeframeConfluence,ETH,31,0.3548387096774194,-0.040990435718246045,-1.1594120522477358,0.12565837959229556,0.8459260466249269,-0.012124666209787275
VolatilityRegimeSwitch,SOL,29,0.3448275862068966,-0.05391840027721446,-1.2712227123012996,0.13849675393400884,0.8380743495722571,-0.01688692950926168
KalmanMeanReversion,ETH,25,0.32,-0.04680532390013268,-1.7409995975840247,0.07968545171494425,0.7853309408888243,-0.017840488667172017
KalmanMeanReversion,SOL,40,0.4,-0.10802766595654521,-1.8551029319430177,0.16428575538217394,0.7733875511140099,-0.026062535992281477
VolumeProfileDeviation,SOL,63,0.30158730158730157,-0.13119375462296465,-1.8617994425055335,0.16113463843061704,0.7677352449195419,-0.020748909579301877
RelativeStrengthRotation,SOL,72,0.4305555555555556,-0.19146854337879285,-2.018294422386711,0.23071605507756499,0.7514964654123741,-0.027194460494856923
KalmanMeanReversion,BTC,36,0.4166666666666667,-0.08426817261990872,-2.7330495953446543,0.09781603359939255,0.6842545390036406,-0.023490781067983284
MarketStructureVolume,ETH,3,0.3333333333333333,-0.01652220046008679,-3.4981348272894732,0.03318448532288403,0.6139354009135157,-0.05252985238676189
VolatilityRegimeSwitch,ETH,26,0.3076923076923077,-0.10508527596496697,-3.9284784919064397,0.1303506565998843,0.5923282431758219,-0.04122965077360242
AdaptiveMomentum,SOL,30,0.5,-0.19470900830366727,-4.005261694352648,0.22278795297690251,0.47300447497452963,-0.06817118093886236
PriceRocMeanReversion,ETH,573,0.450261780104712,-0.9964824797001074,-4.203712563542243,0.9999869208894266,0.5351126430838308,-0.09197514735931808
AdaptiveMomentum,ETH,38,0.34210526315789475,-0.18208758655841029,-4.436249418246574,0.22022740399098523,0.5181100159246996,-0.05108453532639174
OrderBlockRetest,ETH,6,0.16666666666666666,-0.01726685769502892,-5.924516140858179,0.025233483132463333,0.44997734885778895,-0.02869347774671609
PriceRocMeanReversion,BTC,599,0.13856427378964942,-0.9999999999423685,-15.435728886635037,0.9999999999783274,0.046111396179947334,-0.37785037154145895
PriceRocMeanReversion,SOL,588,0.14965986394557823,-1.0,-17.939607882238736,1.0,0.03607325768608993,-0.8556940669812251
