iter	Passed	Remaining
0	147	29355
1	148	14678
2	148	9779
3	149	7328
4	150	5866
5	151	4896
6	152	4202
7	153	3682
8	154	3273
9	155	2945
10	155	2678
11	156	2455
12	157	2265
13	158	2103
14	159	1962
15	159	1839
16	160	1731
17	161	1634
18	162	1548
19	163	1470
20	164	1399
21	165	1335
22	165	1277
23	166	1224
24	167	1174
25	168	1130
26	169	1087
27	170	1048
28	171	1010
29	172	976
30	173	943
31	173	913
32	174	884
33	175	857
34	176	831
35	177	807
36	178	784
37	178	763
38	179	742
39	180	723
40	181	704
41	182	687
42	183	669
43	184	653
44	184	637
45	185	621
46	186	606
47	186	592
48	187	578
49	188	564
50	188	552
51	189	539
52	190	527
53	191	516
54	191	506
55	192	495
56	193	486
57	194	476
58	195	467
59	196	458
60	197	449
61	198	441
62	198	432
63	199	424
64	200	416
