coin_id,symbol,timestamp,close,next_close,vol_mcap_ratio,vol_change_24h,vol_change_12h,price_momentum_7d,price_momentum_3d,price_momentum_1d,rsi_14,rsi_slope,bb_width,bb_percentb,consolidation_range,consecutive_green,momentum_ignition,obv_divergence,distance_from_ath_pct,distance_from_atl_pct,mcap_tier,price_compression,relative_volume_spike,fear_greed_proxy,label
synth_mega_000,SM000,1765038166121,57906.17028556,61723.16088764,0.049252,1.4041,1.3578,-2.6069,-2.1572,-3.0282,50.0,0.0,0.0,0.5,0.031572,0,0,1,94.27,373.86,0.96,0,0,0.7,0
synth_mega_000,SM000,1765124566121,61723.16088764,58124.88763682,0.037126,1.0609,0.9644,3.3112,2.8449,6.5917,46.62,-3.38,0.0,0.5,0.035678,0,0,0,93.89,405.09,0.96,0,0,0.4797,0
synth_mega_000,SM000,1765210966121,58124.88763682,59866.50282984,0.02497,0.6654,0.6686,5.0663,-2.6619,-5.8297,41.41,-8.59,0.0,0.5,0.031209,1,0,0,94.25,375.65,0.96,0,0,0.2485,0
synth_mega_000,SM000,1765297366121,59866.50282984,56789.48267176,0.021731,0.5898,0.5855,7.1999,3.3854,2.9963,44.63,-5.37,0.0,0.5,0.033811,2,0,0,94.07,389.9,0.96,0,0,0.2678,0
synth_mega_000,SM000,1765383766121,56789.48267176,57530.75079375,0.033652,0.9738,1.2043,-4.0441,-7.9932,-5.1398,40.41,-6.21,0.0,0.5,0.036625,0,0,0,94.38,364.72,0.96,0,0,0.4424,0
synth_mega_000,SM000,1765470166121,57530.75079375,60089.09040628,0.027009,0.8115,1.0084,-4.1407,-1.0222,1.3053,41.83,0.42,0.265469,0.2915,0.030361,1,0,0,94.3,370.78,0.96,1,0,0.451,0
synth_mega_000,SM000,1765556566121,60089.09040628,63122.42632231,0.016437,0.5244,0.5985,0.6274,0.3718,4.4469,46.6,1.96,0.261644,0.462,0.022559,0,0,1,94.05,391.72,0.96,0,0,0.2796,0
synth_mega_000,SM000,1765642966121,63122.42632231,61259.99417423,0.04292,1.4295,1.6701,9.0081,11.1516,5.0481,51.65,11.24,0.240975,0.6838,0.034096,1,0,0,93.75,416.54,0.96,0,0,0.7099,0
synth_mega_000,SM000,1765729366121,61259.99417423,61209.99951247,0.030095,1.0335,1.0454,-0.7504,6.4822,-2.9505,48.61,6.77,0.217862,0.5859,0.03001,0,0,1,93.93,401.3,0.96,0,0,0.4916,0
synth_mega_000,SM000,1765815766121,61209.99951247,63204.64439174,0.04661,1.6578,1.5632,5.3077,1.8654,-0.0816,48.52,1.93,0.177175,0.6368,0.026397,0,0,1,93.94,400.89,0.96,1,0,0.6911,0
synth_mega_000,SM000,1765902166121,63204.64439174,61446.80189634,0.034505,1.1057,0.8653,5.576,0.1303,3.2587,52.03,0.38,0.152757,0.8973,0.032904,0,0,0,93.74,417.21,0.96,0,0,0.5122,0
