pick_id,label,pnl_pct,momentum_ignition,relative_volume_spike,obv_divergence,price_compression,consecutive_green,price_momentum_1d,price_momentum_3d,price_momentum_7d,vol_mcap_ratio,vol_change_24h,vol_change_12h,rsi_14,rsi_slope,bb_width,bb_percentb,consolidation_range,distance_from_ath_pct,distance_from_atl_pct,mcap_tier,fear_greed_proxy
claude_h_20260223_0801,0,-5.13,0.0,0.0,0.0,0.0,0.0,3.165,2.532,1.5825,0.05,50.0,30.0,44.495000000000005,0.633,0.15,0.4266,0.08,60.0,200.0,2.0,31.65
claude_inj_20260223_0801,0,-5.87,0.0,0.0,0.0,0.0,0.0,4.346,3.4768,2.173,0.05,50.0,30.0,48.038,0.8692,0.15,0.47384,0.08,60.0,200.0,2.0,43.46
claude_zec_20260223_1036,0,-5.25,0.0,0.0,0.0,0.0,0.0,4.186,3.3488,2.093,0.05,50.0,30.0,47.558,0.8372,0.15,0.46744,0.08,60.0,200.0,2.0,41.86
claude_vvv_20260223_0801,0,-7.2,0.0,0.0,0.0,0.0,0.0,3.322,2.6576,1.661,0.05,50.0,30.0,44.966,0.6644,0.15,0.43288,0.08,60.0,200.0,2.0,33.22
claude_river_20260223_0801,1,14.73,0.0,0.0,0.0,0.0,3.0,4.291,3.4328,2.1455,0.05,50.0,30.0,47.873,0.8582,0.15,0.47164,0.08,60.0,200.0,2.0,42.91
claude_skr_20260224_1124,0,-10.05,0.0,1.0,0.0,0.0,0.0,5.128,4.1024,2.564,0.15,200.0,150.0,50.384,1.0256,0.15,0.50512,0.08,60.0,200.0,2.0,51.28
claude_virtual_20260224_1601,1,13.18,0.0,0.0,0.0,1.0,0.0,3.84,3.072,1.92,0.05,50.0,30.0,46.52,0.768,0.08,0.4536,0.03,60.0,200.0,2.0,38.4
claude_tibbir_20260224_1925,1,10.79,0.0,0.0,0.0,0.0,0.0,4.324,3.4592,2.162,0.05,50.0,30.0,47.972,0.8648,0.15,0.47296,0.08,60.0,200.0,2.0,43.24
claude_hnt_20260224_1925,0,-6.54,0.0,0.0,1.0,0.0,0.0,3.752,3.0016,1.876,0.05,50.0,30.0,46.256,0.7504,0.15,0.45008,0.08,60.0,200.0,2.0,37.52
claude_uni_20260223_0801,1,15.02,0.0,0.0,0.0,0.0,0.0,3.363,2.6904,1.6815,0.05,50.0,30.0,45.089,0.6726,0.15,0.43452,0.08,60.0,200.0,2.0,33.629999999999995
