ticker,name,sector,market_cap_tier,adv_filter,include
AAPL,Apple Inc,Technology,MEGA,true,true
MSFT,Microsoft Corp,Technology,MEGA,true,true
NVDA,NVIDIA Corp,Technology,MEGA,true,true
AMZN,Amazon.com Inc,Consumer Discretionary,MEGA,true,true
GOOGL,Alphabet Inc Class A,Technology,MEGA,true,true
GOOG,Alphabet Inc Class C,Technology,MEGA,true,true
META,Meta Platforms Inc,Technology,MEGA,true,true
TSLA,Tesla Inc,Consumer Discretionary,MEGA,true,true
BRK-B,Berkshire Hathaway Inc B,Financials,MEGA,true,true
LLY,Eli Lilly and Co,Healthcare,MEGA,true,true
AVGO,Broadcom Inc,Technology,MEGA,true,true
JPM,JPMorgan Chase and Co,Financials,MEGA,true,true
V,Visa Inc,Financials,MEGA,true,true
UNH,UnitedHealth Group Inc,Healthcare,MEGA,true,true
XOM,Exxon Mobil Corp,Energy,MEGA,true,true
MA,Mastercard Inc,Financials,MEGA,true,true
COST,Costco Wholesale Corp,Consumer Staples,LARGE,true,true
PG,Procter and Gamble Co,Consumer Staples,LARGE,true,true
JNJ,Johnson and Johnson,Healthcare,LARGE,true,true
HD,Home Depot Inc,Consumer Discretionary,LARGE,true,true
CVX,Chevron Corp,Energy,LARGE,true,true
ABBV,AbbVie Inc,Healthcare,LARGE,true,true
MRK,Merck and Co Inc,Healthcare,LARGE,true,true
ORCL,Oracle Corp,Technology,LARGE,true,true
AMD,Advanced Micro Devices,Technology,LARGE,true,false
NFLX,Netflix Inc,Technology,LARGE,true,true
BAC,Bank of America Corp,Financials,LARGE,true,true
TMO,Thermo Fisher Scientific,Healthcare,LARGE,true,true
ADBE,Adobe Inc,Technology,LARGE,true,true
WMT,Walmart Inc,Consumer Staples,LARGE,true,true
CRM,Salesforce Inc,Technology,LARGE,true,true
KO,Coca-Cola Co,Consumer Staples,LARGE,true,true
PEP,PepsiCo Inc,Consumer Staples,LARGE,true,true
QCOM,Qualcomm Inc,Technology,LARGE,true,true
TXN,Texas Instruments Inc,Technology,LARGE,true,true
PM,Philip Morris International,Consumer Staples,LARGE,true,true
ACN,Accenture PLC,Technology,LARGE,true,true
DHR,Danaher Corp,Healthcare,LARGE,true,true
INTU,Intuit Inc,Technology,LARGE,true,true
GE,GE Aerospace,Industrials,LARGE,true,true
IBM,International Business Machines,Technology,LARGE,true,true
GS,Goldman Sachs Group,Financials,LARGE,true,true
AMGN,Amgen Inc,Healthcare,LARGE,true,true
LOW,Lowe's Companies Inc,Consumer Discretionary,LARGE,true,true
AXP,American Express Co,Financials,LARGE,true,true
SYK,Stryker Corp,Healthcare,LARGE,true,true
ISRG,Intuitive Surgical Inc,Healthcare,LARGE,true,true
NOW,ServiceNow Inc,Technology,LARGE,true,true
RTX,RTX Corp,Industrials,LARGE,true,true
BLK,BlackRock Inc,Financials,LARGE,true,true
PLTR,Palantir Technologies,Technology,LARGE,true,true
MDT,Medtronic PLC,Healthcare,LARGE,true,true
GILD,Gilead Sciences Inc,Healthcare,LARGE,true,true
T,AT&T Inc,Communication Services,LARGE,true,true
C,Citigroup Inc,Financials,LARGE,true,true
SCHW,Charles Schwab Corp,Financials,LARGE,true,true
BKNG,Booking Holdings Inc,Consumer Discretionary,LARGE,true,true
REGN,Regeneron Pharmaceuticals,Healthcare,LARGE,true,true
MPC,Marathon Petroleum Corp,Energy,LARGE,true,true
TJX,TJX Companies Inc,Consumer Discretionary,LARGE,true,true
PLD,Prologis Inc,Real Estate,LARGE,true,true
MS,Morgan Stanley,Financials,LARGE,true,true
SPGI,S&P Global Inc,Financials,LARGE,true,true
LRCX,Lam Research Corp,Technology,LARGE,true,true
COP,ConocoPhillips,Energy,LARGE,true,true
SLB,SLB NV,Energy,LARGE,true,true
KLAC,KLA Corp,Technology,LARGE,true,true
MU,Micron Technology Inc,Technology,LARGE,true,true
