pair,strategy_name,status,sharpe,win_rate,max_drawdown,profit_factor,total_return,total_trades,duration_sec,error
BTC/USDT,crypto_donchian_adx_volume_thrust_v2,passed,2.9793,0.6087,0.019,1.7581,0.0413,23,1.962,
BTC/USDT,crypto_efficiency_ratio_channel_break_v2,failed,-10.8893,0.2667,0.0461,0.1698,-0.0409,15,1.068,
BTC/USDT,crypto_ema_pullback_cci_reentry_v2,failed,-9.2474,0.3333,0.0047,0.2142,-0.0037,3,1.034,
BTC/USDT,crypto_range_expansion_followthrough_v2,failed_insufficient_trades,0.0,0.0,1.0,0.0,0.0,0,0.91,
BTC/USDT,crypto_rsi_failure_swing_reversal_v2,failed,0.2439,0.4299,0.0904,1.0364,0.0074,107,1.334,
BTC/USDT,crypto_swing_break_retest_v2,passed,9.9081,0.75,0.0123,4.8195,0.0679,8,0.995,
BTC/USDT,crypto_variance_ratio_regime_router_v2,passed,2.5938,0.4793,0.0913,1.566,0.2224,169,1.865,
BTC/USDT,crypto_volatility_compression_trend_thrust_v2,failed_insufficient_trades,0.0,0.0,0.0041,0.0,-0.0041,1,1.472,
BTC/USDT,crypto_volume_absorption_reversal_v2,failed_insufficient_trades,0.0,1.0,0.0,999.0,0.0138,1,2.112,
BTC/USDT,crypto_vwma_deviation_reclaim_v2,failed,1.2011,0.3864,0.1025,1.2587,0.0906,176,1.416,
ETH/USDT,crypto_donchian_adx_volume_thrust_v2,passed,2.474,0.5862,0.0008,1.5392,0.0013,29,1.957,
ETH/USDT,crypto_efficiency_ratio_channel_break_v2,failed,-6.3558,0.3846,0.0008,0.173,-0.0008,13,1.041,
ETH/USDT,crypto_ema_pullback_cci_reentry_v2,failed,-6.9082,0.4545,0.0006,0.2666,-0.0005,11,1.013,
ETH/USDT,crypto_range_expansion_followthrough_v2,failed_insufficient_trades,0.0,0.0,1.0,0.0,0.0,0,0.872,
ETH/USDT,crypto_rsi_failure_swing_reversal_v2,failed,-2.6298,0.2967,0.004,0.605,-0.0034,91,1.267,
ETH/USDT,crypto_swing_break_retest_v2,failed,-0.7079,0.5,0.0006,0.8833,-0.0002,12,0.944,
ETH/USDT,crypto_variance_ratio_regime_router_v2,failed,4.1315,0.4326,0.0041,2.3019,0.0191,178,1.747,
ETH/USDT,crypto_volatility_compression_trend_thrust_v2,failed_insufficient_trades,0.0,0.0,1.0,0.0,0.0,0,1.347,
ETH/USDT,crypto_volume_absorption_reversal_v2,passed,5.9472,0.5,0.0004,3.914,0.0013,8,1.814,
ETH/USDT,crypto_vwma_deviation_reclaim_v2,failed,-0.4565,0.3652,0.0093,0.914,-0.0017,178,1.352,
SOL/USDT,crypto_donchian_adx_volume_thrust_v2,failed,3.0416,0.4348,0.0,1.6636,0.0001,23,1.982,
SOL/USDT,crypto_efficiency_ratio_channel_break_v2,failed,1.8788,0.3636,0.0001,1.4137,0.0,22,1.062,
SOL/USDT,crypto_ema_pullback_cci_reentry_v2,passed,11.0714,0.8,0.0,11.0,0.0,5,1.028,
SOL/USDT,crypto_range_expansion_followthrough_v2,failed_insufficient_trades,0.0,0.0,1.0,0.0,0.0,0,0.881,
SOL/USDT,crypto_rsi_failure_swing_reversal_v2,passed,2.4101,0.5096,0.0001,1.616,0.0001,104,1.308,
SOL/USDT,crypto_swing_break_retest_v2,failed,-4.2406,0.25,0.0,0.5113,-0.0,8,0.97,
SOL/USDT,crypto_variance_ratio_regime_router_v2,passed,3.862,0.5437,0.0003,1.8463,0.0007,160,1.842,
SOL/USDT,crypto_volatility_compression_trend_thrust_v2,failed,-15.2824,0.3333,0.0,0.1319,-0.0,3,1.397,
SOL/USDT,crypto_volume_absorption_reversal_v2,passed,6.9233,0.5556,0.0,4.8333,0.0001,9,1.839,
SOL/USDT,crypto_vwma_deviation_reclaim_v2,failed,-0.4332,0.4252,0.0003,0.9213,-0.0001,214,1.402,
