pair,strategy_name,status,sharpe,win_rate,max_drawdown,total_return,trades
XRP/USDT,crypto_donchian_adx_volume_thrust_v2,failed,4.0554,0.4,0.0,0.0,25
XRP/USDT,crypto_efficiency_ratio_channel_break_v2,failed,2.1819,0.375,0.0,0.0,16
XRP/USDT,crypto_ema_pullback_cci_reentry_v2,failed,-1.7847,0.3333,0.0,-0.0,9
XRP/USDT,crypto_range_expansion_followthrough_v2,passed,14.6969,0.6667,0.0,0.0,3
XRP/USDT,crypto_rsi_failure_swing_reversal_v2,failed,-0.0225,0.3,0.0,-0.0,90
XRP/USDT,crypto_swing_break_retest_v2,passed,3.1592,0.4615,0.0,0.0,13
XRP/USDT,crypto_variance_ratio_regime_router_v2,failed,-1.0557,0.3333,0.0,-0.0,162
XRP/USDT,crypto_volatility_compression_trend_thrust_v2,failed,-2.7542,0.3077,0.0,-0.0,26
XRP/USDT,crypto_volume_absorption_reversal_v2,passed,6.0695,0.5,0.0,0.0,6
XRP/USDT,crypto_vwma_deviation_reclaim_v2,failed,-9.1083,0.3333,0.0,-0.0,3
