strategy_name,agent_id,file_path,status,sharpe,win_rate,max_drawdown,profit_factor,total_return,total_trades,duration_sec,error,pair
crypto_liquidation_flow_exhaustion_v1,cursor_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\cursor_ai\crypto_liquidation_flow_exhaustion_v1.py,passed,2.5177,0.5484,0.03,1.6013,0.0443,31,3.343,,BTC/USDT
crypto_whale_social_divergence_v1,cursor_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\cursor_ai\crypto_whale_social_divergence_v1.py,passed,1.3905,0.4634,0.0681,1.3161,0.1016,164,2.311,,BTC/USDT
crypto_funding_flow_trend_router_v1,cursor_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\cursor_ai\crypto_funding_flow_trend_router_v1.py,passed,1.5479,0.5,0.0737,1.3645,0.0554,64,1.716,,BTC/USDT
crossasset_risk_triad_rotation_v1,cursor_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\cursor_ai\crossasset_risk_triad_rotation_v1.py,failed,0.3867,0.4414,0.143,1.0599,0.0251,145,4.072,,BTC/USDT
crossasset_spxbtc_residual_momentum_v1,cursor_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\cursor_ai\crossasset_spxbtc_residual_momentum_v1.py,failed_insufficient_trades,0.0,0.0,1.0,0.0,0.0,0,14.332,,BTC/USDT
crypto_governance_social_regime_v1,cursor_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\cursor_ai\crypto_governance_social_regime_v1.py,passed,1.956,0.5074,0.0931,1.4072,0.1972,203,2.87,,BTC/USDT
crypto_mtf_impulse_alignment_v1,cursor_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\cursor_ai\crypto_mtf_impulse_alignment_v1.py,passed,2.7528,0.538,0.0614,1.6085,0.2421,158,1.655,,BTC/USDT
crypto_dxy_funding_squeeze_v1,cursor_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\cursor_ai\crypto_dxy_funding_squeeze_v1.py,failed_insufficient_trades,0.0,0.0,1.0,0.0,0.0,0,3.82,,BTC/USDT
crypto_vix_liquidation_panicfade_v1,cursor_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\cursor_ai\crypto_vix_liquidation_panicfade_v1.py,failed_insufficient_trades,0.0,0.0,0.0084,0.0,-0.0084,1,3.536,,BTC/USDT
crypto_flow_whale_breakout_v1,cursor_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\cursor_ai\crypto_flow_whale_breakout_v1.py,failed,1.0762,0.3333,0.0122,1.2037,0.0043,6,1.775,,BTC/USDT
crypto_liquidation_flow_exhaustion_v1,cursor_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\cursor_ai\crypto_liquidation_flow_exhaustion_v1.py,passed,3.6997,0.4643,0.0005,2.3742,0.0019,28,3.17,,ETH/USDT
crypto_whale_social_divergence_v1,cursor_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\cursor_ai\crypto_whale_social_divergence_v1.py,failed,0.6935,0.467,0.0041,1.1578,0.0021,182,2.089,,ETH/USDT
crypto_funding_flow_trend_router_v1,cursor_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\cursor_ai\crypto_funding_flow_trend_router_v1.py,passed,3.3578,0.5125,0.0059,1.9428,0.008,80,1.951,,ETH/USDT
crossasset_risk_triad_rotation_v1,cursor_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\cursor_ai\crossasset_risk_triad_rotation_v1.py,failed,-0.2414,0.452,0.0072,0.9499,-0.0009,177,3.887,,ETH/USDT
crossasset_spxbtc_residual_momentum_v1,cursor_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\cursor_ai\crossasset_spxbtc_residual_momentum_v1.py,failed_insufficient_trades,0.0,0.0,1.0,0.0,0.0,0,13.759,,ETH/USDT
crypto_governance_social_regime_v1,cursor_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\cursor_ai\crypto_governance_social_regime_v1.py,failed,1.147,0.4457,0.0073,1.251,0.0043,175,2.084,,ETH/USDT
crypto_mtf_impulse_alignment_v1,cursor_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\cursor_ai\crypto_mtf_impulse_alignment_v1.py,passed,2.9055,0.5028,0.0076,1.7949,0.0115,179,1.744,,ETH/USDT
crypto_dxy_funding_squeeze_v1,cursor_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\cursor_ai\crypto_dxy_funding_squeeze_v1.py,failed_insufficient_trades,0.0,0.0,1.0,0.0,0.0,0,4.09,,ETH/USDT
crypto_vix_liquidation_panicfade_v1,cursor_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\cursor_ai\crypto_vix_liquidation_panicfade_v1.py,failed_insufficient_trades,-17.714,0.0,0.0006,0.0,-0.0006,2,3.516,,ETH/USDT
crypto_flow_whale_breakout_v1,cursor_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\cursor_ai\crypto_flow_whale_breakout_v1.py,passed,8.9149,0.5,0.0,30.3821,0.0011,4,1.727,,ETH/USDT
crypto_liquidation_flow_exhaustion_v1,cursor_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\cursor_ai\crypto_liquidation_flow_exhaustion_v1.py,passed,6.5132,0.5238,0.0,4.051,0.0002,21,3.223,,SOL/USDT
crypto_whale_social_divergence_v1,cursor_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\cursor_ai\crypto_whale_social_divergence_v1.py,failed,1.8607,0.4438,0.0002,1.4432,0.0003,169,2.409,,SOL/USDT
crypto_funding_flow_trend_router_v1,cursor_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\cursor_ai\crypto_funding_flow_trend_router_v1.py,failed,1.8245,0.4452,0.0001,1.5149,0.0002,155,2.027,,SOL/USDT
crossasset_risk_triad_rotation_v1,cursor_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\cursor_ai\crossasset_risk_triad_rotation_v1.py,passed,2.1001,0.4703,0.0002,1.5019,0.0004,185,3.6,,SOL/USDT
crossasset_spxbtc_residual_momentum_v1,cursor_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\cursor_ai\crossasset_spxbtc_residual_momentum_v1.py,failed_insufficient_trades,0.0,0.0,1.0,0.0,0.0,0,13.419,,SOL/USDT
crypto_governance_social_regime_v1,cursor_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\cursor_ai\crypto_governance_social_regime_v1.py,failed,1.1218,0.3963,0.0002,1.2368,0.0002,217,2.043,,SOL/USDT
crypto_mtf_impulse_alignment_v1,cursor_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\cursor_ai\crypto_mtf_impulse_alignment_v1.py,failed,1.4934,0.3974,0.0003,1.3307,0.0003,229,1.521,,SOL/USDT
crypto_dxy_funding_squeeze_v1,cursor_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\cursor_ai\crypto_dxy_funding_squeeze_v1.py,failed_insufficient_trades,0.0,0.0,1.0,0.0,0.0,0,3.762,,SOL/USDT
crypto_vix_liquidation_panicfade_v1,cursor_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\cursor_ai\crypto_vix_liquidation_panicfade_v1.py,failed,-7.9237,0.5,0.0,0.2158,-0.0,4,3.974,,SOL/USDT
crypto_flow_whale_breakout_v1,cursor_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\cursor_ai\crypto_flow_whale_breakout_v1.py,failed,4.0964,0.3333,0.0001,1.9011,0.0001,9,2.02,,SOL/USDT
