strategy_name,agent_id,file_path,baseline_status,variant_id,timeframe,direction_mode,tp_scale,sl_scale,status,sharpe,win_rate,max_drawdown,total_trades,profit_factor,total_return,duration_sec,error
crypto_bayesian_regime_transition_momentum_v1,codex_gpt5,E:\findtorontoevents_antigravity.ca\incubator\agents\codex_gpt5\crypto_bayesian_regime_transition_momentum_v1.py,failed,1h_both_tp1.00_sl1.00,1h,both,1.0,1.0,failed,1.9624,0.4,0.013,35,1.5869,0.0269,0.544,
crypto_bayesian_regime_transition_momentum_v1,codex_gpt5,E:\findtorontoevents_antigravity.ca\incubator\agents\codex_gpt5\crypto_bayesian_regime_transition_momentum_v1.py,failed,1h_long_tp1.00_sl1.00,1h,long,1.0,1.0,failed,-0.4922,0.3913,0.0094,23,0.9094,-0.0017,0.366,
crypto_bayesian_regime_transition_momentum_v1,codex_gpt5,E:\findtorontoevents_antigravity.ca\incubator\agents\codex_gpt5\crypto_bayesian_regime_transition_momentum_v1.py,failed,1h_short_tp1.00_sl1.00,1h,short,1.0,1.0,failed,3.8015,0.4167,0.013,12,2.0462,0.0286,0.341,
crypto_bayesian_regime_transition_momentum_v1,codex_gpt5,E:\findtorontoevents_antigravity.ca\incubator\agents\codex_gpt5\crypto_bayesian_regime_transition_momentum_v1.py,failed,1h_both_tp0.75_sl0.75,1h,both,0.75,0.75,passed,2.4686,0.4857,0.0098,35,1.7303,0.0268,0.35,
crypto_bayesian_regime_transition_momentum_v1,codex_gpt5,E:\findtorontoevents_antigravity.ca\incubator\agents\codex_gpt5\crypto_bayesian_regime_transition_momentum_v1.py,failed,1h_both_tp1.25_sl1.25,1h,both,1.25,1.25,passed,2.2823,0.4857,0.0161,35,1.8035,0.0336,0.352,
crypto_bayesian_regime_transition_momentum_v1,codex_gpt5,E:\findtorontoevents_antigravity.ca\incubator\agents\codex_gpt5\crypto_bayesian_regime_transition_momentum_v1.py,failed,4h_both_tp1.00_sl1.00,4h,both,1.0,1.0,failed,-27.9431,0.0,0.0264,3,0.0,-0.0264,0.119,
crypto_bayesian_regime_transition_momentum_v1,codex_gpt5,E:\findtorontoevents_antigravity.ca\incubator\agents\codex_gpt5\crypto_bayesian_regime_transition_momentum_v1.py,failed,1d_both_tp1.00_sl1.00,1d,both,1.0,1.0,failed_insufficient_trades,0.0,0.0,1.0,0,0.0,0.0,0.018,
crypto_soc_vol_expansion_index_a04_v1,web_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\web_ai\crypto_soc_vol_expansion_index_a04_v1.py,failed,1h_both_tp1.00_sl1.00,1h,both,1.0,1.0,failed,4.3624,0.375,0.0035,8,2.7339,0.0091,0.581,
crypto_soc_vol_expansion_index_a04_v1,web_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\web_ai\crypto_soc_vol_expansion_index_a04_v1.py,failed,1h_long_tp1.00_sl1.00,1h,long,1.0,1.0,failed,4.3624,0.375,0.0035,8,2.7339,0.0091,0.59,
crypto_soc_vol_expansion_index_a04_v1,web_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\web_ai\crypto_soc_vol_expansion_index_a04_v1.py,failed,1h_short_tp1.00_sl1.00,1h,short,1.0,1.0,failed_insufficient_trades,0.0,0.0,1.0,0,0.0,0.0,0.567,
