strategy_name,agent_id,file_path,status,sharpe,win_rate,max_drawdown,total_trades,profit_factor,total_return,bars_used,bar_step,duration_sec,errors_seen,error_message
avg_directional_movement,web_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\web_ai\avg_directional_movement.py,failed,2.7756,0.4483,0.0223,29,1.6485,0.0273,1808,2,1.32,0,
elder_ray_bull_power,web_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\web_ai\elder_ray_bull_power.py,failed,2.1229,0.4318,0.0586,44,1.6261,0.0729,1808,2,0.796,0,
range_contraction_revert,web_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\web_ai\range_contraction_revert.py,failed,1.7802,0.439,0.0467,41,1.338,0.0343,1808,2,1.003,0,
dual_atr_regime,web_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\web_ai\dual_atr_regime.py,failed,1.0991,0.4,0.1274,70,1.2093,0.0502,1808,2,1.304,0,
smoothed_momentum_crossover,web_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\web_ai\smoothed_momentum_crossover.py,failed,1.0313,0.4375,0.0501,32,1.227,0.0177,1808,2,0.791,0,
momentum_percentile_rank,web_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\web_ai\momentum_percentile_rank.py,failed,0.8814,0.5158,0.1177,95,1.1769,0.0514,1808,2,1.12,0,
rsi_velocity_cross,web_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\web_ai\rsi_velocity_cross.py,failed,0.8724,0.4762,0.0436,21,1.1767,0.0087,1808,2,1.11,0,
gap_fill_reversion,web_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\web_ai\gap_fill_reversion.py,failed,0.722,0.4828,0.0349,29,1.1218,0.0108,1808,2,0.701,0,
roc_acceleration_trend,web_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\web_ai\roc_acceleration_trend.py,failed,0.7055,0.4694,0.0803,196,1.1436,0.0507,1808,2,0.977,0,
median_price_reversion,web_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\web_ai\median_price_reversion.py,failed,0.4976,0.4135,0.3358,104,1.0733,0.0412,1808,2,1.0,0,
intraday_momentum_index,web_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\web_ai\intraday_momentum_index.py,failed,0.4352,0.431,0.1189,58,1.0671,0.014,1808,2,1.106,0,
opening_range_breakout,web_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\web_ai\opening_range_breakout.py,failed,0.3885,0.4403,0.0986,134,1.0736,0.0255,1808,2,0.763,0,
