agent_id,strategy_name,status,overall_trades,overall_win_rate,overall_sharpe,overall_max_drawdown,overall_total_return,long_trades,long_win_rate,long_sharpe,short_trades,short_win_rate,short_sharpe,duration_sec,errors_seen
antigravity_01,crypto_vwap_volprofile_reversion_v1,passed,18,0.5556,5.6211,0.005,0.0376,2,1.0,731.5585,16,0.5,0.9172,2.639,0
claude_code_01,crossasset_btcspx_corrbreakdown_v1,passed,83,0.506,1.1691,0.0702,0.0424,71,0.507,0.6823,12,0.5,4.4819,1.811,0
codex_gpt5,crossasset_btceth_beta_dispersion_v1,failed,59,0.3898,-1.5185,0.0914,-0.0466,26,0.4231,-2.1788,33,0.3636,-0.9279,1.397,0
codex_gpt5,crossasset_btcspx_volspillover_regime_v1,failed_insufficient_trades,0,,,,,0,,,0,,,1.485,0
codex_gpt5,crypto_adx_pullback_trendresume_v1,passed,27,0.6667,8.0606,0.0053,0.0957,15,0.4,-1.5196,12,1.0,16.8801,1.31,0
codex_gpt5,crypto_bayesian_regime_transition_momentum_v1,failed,129,0.4496,1.8905,0.0566,0.1064,81,0.4321,0.2171,48,0.4792,3.191,1.288,0
codex_gpt5,crypto_choppiness_regime_switch_v1,passed,58,0.5172,1.5108,0.0378,0.0382,35,0.5714,-0.495,23,0.4348,3.3781,1.567,0
codex_gpt5,crypto_donchian_atr_breakout_retest_v1,passed,12,0.5,5.9972,0.0076,0.0556,4,0.5,1.4249,8,0.5,7.5569,0.906,0
codex_gpt5,crypto_drawdown_convexity_recovery_v1,failed,68,0.3529,0.8687,0.0321,0.0178,1,0.0,0.0,67,0.3582,1.7269,1.049,0
codex_gpt5,crypto_hurst_volexpansion_breakout_v1,timeout,0,,,,,0,,,0,,,25.121,0
codex_gpt5,crypto_kalman_trend_residual_reversion_v1,failed,120,0.3833,0.7135,0.0981,0.0436,53,0.4528,0.9196,67,0.3284,0.5331,1.545,0
codex_gpt5,crypto_keltner_compression_expansion_v1,failed,64,0.4375,2.3943,0.0567,0.0597,50,0.48,3.4424,14,0.2857,-1.2254,1.489,0
codex_gpt5,crypto_liquidity_wick_reversal_v1,failed,18,0.3333,1.4927,0.0223,0.0135,9,0.4444,3.8298,9,0.2222,-2.7293,1.13,0
