strategy_name,pair,timeframe,sharpe,win_rate,max_drawdown,profit_factor,total_return,total_trades,status
crypto_shortterm_nr_er_adx_ignition_v1,BTC/USDT,1m,10.4079,0.6376,0.0073,4.2276,0.5038,574,passed
crypto_shortterm_nr_er_adx_ignition_v1,BTC/USDT,3m,10.2903,0.6441,0.0079,4.3774,0.3323,281,passed
crypto_shortterm_nr_er_adx_ignition_v1,BTC/USDT,5m,10.9475,0.6761,0.0065,5.3281,0.2869,176,passed
crypto_shortterm_nr_er_adx_ignition_v1,ETH/USDT,1m,11.5895,0.6538,0.0003,4.7867,0.017,598,passed
crypto_shortterm_nr_er_adx_ignition_v1,ETH/USDT,3m,11.3666,0.6667,0.0003,4.9745,0.0107,267,passed
crypto_shortterm_nr_er_adx_ignition_v1,ETH/USDT,5m,12.6625,0.7348,0.0003,6.4031,0.0103,181,passed
crypto_shortterm_nr_er_adx_ignition_v1,SOL/USDT,1m,11.5072,0.6521,0.0,4.5752,0.0007,595,passed
crypto_shortterm_nr_er_adx_ignition_v1,SOL/USDT,3m,11.4568,0.6543,0.0,4.7575,0.0005,269,passed
crypto_shortterm_nr_er_adx_ignition_v1,SOL/USDT,5m,10.9433,0.657,0.0,4.9391,0.0004,172,passed
crypto_shortterm_nr_er_bbands_ignition_v1,BTC/USDT,1m,27.9249,0.9,0.0008,19.6243,0.0304,20,passed
crypto_shortterm_nr_er_bbands_ignition_v1,BTC/USDT,3m,18.4544,0.8103,0.003,9.8257,0.1046,58,passed
crypto_shortterm_nr_er_bbands_ignition_v1,BTC/USDT,5m,12.2388,0.7215,0.0047,6.3813,0.138,79,passed
crypto_shortterm_nr_er_bbands_ignition_v1,ETH/USDT,1m,40.4873,0.9524,0.0,46.0548,0.0011,21,passed
crypto_shortterm_nr_er_bbands_ignition_v1,ETH/USDT,3m,19.3612,0.8148,0.0001,11.6046,0.0031,54,passed
crypto_shortterm_nr_er_bbands_ignition_v1,ETH/USDT,5m,13.5744,0.7361,0.0002,7.2005,0.0046,72,passed
crypto_shortterm_nr_er_bbands_ignition_v1,SOL/USDT,1m,31.9523,0.9474,0.0,35.053,0.0,19,passed
crypto_shortterm_nr_er_bbands_ignition_v1,SOL/USDT,3m,20.7979,0.8378,0.0,13.3335,0.0001,37,passed
crypto_shortterm_nr_er_bbands_ignition_v1,SOL/USDT,5m,10.9656,0.6349,0.0,4.9426,0.0002,63,passed
crypto_shortterm_nr_er_cci_ignition_v1,BTC/USDT,1m,10.7507,0.6402,0.0052,4.3895,0.1832,214,passed
crypto_shortterm_nr_er_cci_ignition_v1,BTC/USDT,3m,11.7891,0.6667,0.0039,5.1017,0.1211,93,passed
crypto_shortterm_nr_er_cci_ignition_v1,BTC/USDT,5m,14.084,0.75,0.0033,7.9005,0.1919,100,passed
crypto_shortterm_nr_er_cci_ignition_v1,ETH/USDT,1m,10.8088,0.6255,0.0001,4.4318,0.0061,235,passed
crypto_shortterm_nr_er_cci_ignition_v1,ETH/USDT,3m,14.3535,0.7333,0.0001,7.0249,0.0035,75,passed
crypto_shortterm_nr_er_cci_ignition_v1,ETH/USDT,5m,14.6584,0.7634,0.0001,7.9165,0.0059,93,passed
crypto_shortterm_nr_er_cci_ignition_v1,SOL/USDT,1m,11.9049,0.6594,0.0,4.7753,0.0003,229,passed
crypto_shortterm_nr_er_cci_ignition_v1,SOL/USDT,3m,13.8203,0.7033,0.0,6.3963,0.0002,91,passed
crypto_shortterm_nr_er_cci_ignition_v1,SOL/USDT,5m,13.011,0.7143,0.0,6.3157,0.0002,84,passed
crypto_shortterm_nr_er_chop_ignition_v1,BTC/USDT,1m,50.7854,1.0,0.0,999.0,0.0159,7,passed
crypto_shortterm_nr_er_chop_ignition_v1,BTC/USDT,3m,16.8664,0.8133,0.0031,8.836,0.1504,75,passed
crypto_shortterm_nr_er_chop_ignition_v1,BTC/USDT,5m,14.6945,0.7927,0.0068,8.6621,0.189,82,passed
crypto_shortterm_nr_er_chop_ignition_v1,ETH/USDT,1m,101.4717,1.0,0.0,999.0,0.0007,10,passed
crypto_shortterm_nr_er_chop_ignition_v1,ETH/USDT,3m,22.1033,0.8621,0.0001,14.1664,0.0063,87,passed
crypto_shortterm_nr_er_chop_ignition_v1,ETH/USDT,5m,18.022,0.8353,0.0001,10.8335,0.0071,85,passed
crypto_shortterm_nr_er_chop_ignition_v1,SOL/USDT,1m,103.9878,1.0,0.0,999.0,0.0001,18,passed
crypto_shortterm_nr_er_chop_ignition_v1,SOL/USDT,3m,20.0661,0.8265,0.0,11.0515,0.0003,98,passed
crypto_shortterm_nr_er_chop_ignition_v1,SOL/USDT,5m,18.8338,0.8365,0.0,12.2713,0.0004,104,passed
crypto_shortterm_nr_er_donchian_ignition_v1,BTC/USDT,1m,36.4996,1.0,0.0,999.0,0.0052,4,passed
crypto_shortterm_nr_er_donchian_ignition_v1,BTC/USDT,3m,12.4087,0.7143,0.0019,5.1103,0.014,7,passed
crypto_shortterm_nr_er_donchian_ignition_v1,BTC/USDT,5m,25.3188,0.9429,0.0019,30.5025,0.1164,35,passed
crypto_shortterm_nr_er_donchian_ignition_v1,ETH/USDT,1m,21.1211,0.8571,0.0,17.0924,0.0002,7,passed
crypto_shortterm_nr_er_donchian_ignition_v1,ETH/USDT,3m,27.7987,0.9375,0.0001,26.7234,0.0015,16,passed
crypto_shortterm_nr_er_donchian_ignition_v1,ETH/USDT,5m,23.6377,0.8909,0.0001,18.7144,0.0055,55,passed
crypto_shortterm_nr_er_donchian_ignition_v1,SOL/USDT,1m,67.8948,1.0,0.0,999.0,0.0,8,passed
crypto_shortterm_nr_er_donchian_ignition_v1,SOL/USDT,3m,25.4447,0.8857,0.0,16.5686,0.0001,35,passed
crypto_shortterm_nr_er_donchian_ignition_v1,SOL/USDT,5m,23.023,0.8833,0.0,18.3711,0.0003,60,passed
crypto_shortterm_nr_er_keltner_ignition_v1,BTC/USDT,1m,53.8291,1.0,0.0,999.0,0.018,8,passed
crypto_shortterm_nr_er_keltner_ignition_v1,BTC/USDT,3m,17.2174,0.8125,0.003,9.1721,0.1607,80,passed
crypto_shortterm_nr_er_keltner_ignition_v1,BTC/USDT,5m,14.6351,0.7778,0.0067,8.3768,0.2057,90,passed
crypto_shortterm_nr_er_keltner_ignition_v1,ETH/USDT,1m,116.2157,1.0,0.0,999.0,0.0011,16,passed
crypto_shortterm_nr_er_keltner_ignition_v1,ETH/USDT,3m,23.0156,0.8764,0.0001,15.7667,0.0065,89,passed
crypto_shortterm_nr_er_keltner_ignition_v1,ETH/USDT,5m,19.4525,0.8511,0.0001,12.534,0.0081,94,passed
crypto_shortterm_nr_er_keltner_ignition_v1,SOL/USDT,1m,129.6659,1.0,0.0,999.0,0.0001,31,passed
crypto_shortterm_nr_er_keltner_ignition_v1,SOL/USDT,3m,21.141,0.8435,0.0,12.2614,0.0004,115,passed
crypto_shortterm_nr_er_keltner_ignition_v1,SOL/USDT,5m,18.219,0.8257,0.0,11.7319,0.0004,109,passed
crypto_shortterm_nr_er_obv_ignition_v1,BTC/USDT,1m,10.3916,0.6409,0.0075,4.2688,0.5237,607,passed
crypto_shortterm_nr_er_obv_ignition_v1,BTC/USDT,3m,9.9042,0.6307,0.0079,4.1857,0.327,287,passed
crypto_shortterm_nr_er_obv_ignition_v1,BTC/USDT,5m,10.2682,0.6593,0.0065,4.8167,0.2798,182,passed
crypto_shortterm_nr_er_obv_ignition_v1,ETH/USDT,1m,11.3234,0.6466,0.0003,4.6678,0.0171,614,passed
crypto_shortterm_nr_er_obv_ignition_v1,ETH/USDT,3m,11.3127,0.6654,0.0003,4.9443,0.0106,266,passed
crypto_shortterm_nr_er_obv_ignition_v1,ETH/USDT,5m,12.5455,0.7333,0.0003,6.3107,0.0101,180,passed
crypto_shortterm_nr_er_obv_ignition_v1,SOL/USDT,1m,11.4918,0.6522,0.0,4.5674,0.0007,598,passed
crypto_shortterm_nr_er_obv_ignition_v1,SOL/USDT,3m,11.3209,0.6506,0.0,4.6827,0.0005,269,passed
crypto_shortterm_nr_er_obv_ignition_v1,SOL/USDT,5m,10.8209,0.6509,0.0,4.8232,0.0004,169,passed
crypto_shortterm_nr_er_roc_ignition_v1,BTC/USDT,1m,11.6703,0.6743,0.0059,4.9602,0.2936,304,passed
crypto_shortterm_nr_er_roc_ignition_v1,BTC/USDT,3m,12.6172,0.6935,0.0049,5.6979,0.2682,186,passed
crypto_shortterm_nr_er_roc_ignition_v1,BTC/USDT,5m,12.9802,0.7266,0.0036,6.7095,0.2585,139,passed
crypto_shortterm_nr_er_roc_ignition_v1,ETH/USDT,1m,12.4711,0.6667,0.0002,5.2514,0.0097,315,passed
crypto_shortterm_nr_er_roc_ignition_v1,ETH/USDT,3m,13.1365,0.7126,0.0002,6.1159,0.008,174,passed
crypto_shortterm_nr_er_roc_ignition_v1,ETH/USDT,5m,14.3248,0.7574,0.0002,7.7944,0.0086,136,passed
crypto_shortterm_nr_er_roc_ignition_v1,SOL/USDT,1m,12.6886,0.682,0.0,5.3019,0.0004,305,passed
