strategy_name,cases,passed_cases,avg_sharpe,avg_win_rate,avg_max_drawdown,avg_total_return,total_trades
crypto_shortterm_nr_er_keltner_ignition_v1,9,9,45.9324,0.8874,0.0011,0.0446,632
crypto_shortterm_nr_er_chop_ignition_v1,9,9,40.759,0.8852,0.0011,0.0411,566
crypto_shortterm_nr_er_donchian_ignition_v1,9,9,29.2386,0.9013,0.0004,0.0159,227
crypto_shortterm_nr_er_bbands_ignition_v1,9,9,21.7508,0.8172,0.001,0.0313,423
crypto_shortterm_nr_er_roc_ignition_v1,9,9,13.0122,0.7062,0.0017,0.0942,1840
crypto_shortterm_nr_er_cci_ignition_v1,9,9,12.7979,0.6951,0.0014,0.0569,1214
crypto_shortterm_nr_er_vwma_ignition_v1,9,9,11.2664,0.665,0.0024,0.1277,3126
crypto_shortterm_nr_er_adx_ignition_v1,9,9,11.2413,0.6641,0.0025,0.1292,3113
crypto_shortterm_nr_er_obv_ignition_v1,9,9,11.0421,0.6589,0.0025,0.13,3172
crypto_shortterm_nr_er_rsi_ignition_v1,9,9,9.7849,0.6264,0.0042,0.1657,4645
