Symbol,Side,Type,Qty,Limit Price,Stop Price,Fill Price,Status,Commission,Placing Time,Closing Time,Order ID,Level ID,Leverage,Margin
COINBASE:FILUSD,Buy,Market,1.9978,,,0.979,Filled,,2026-03-06 22:05:49,2026-03-06 22:05:49,2834252477,,10:1,0.20 USD
BITSTAMP:BTCUSD,Buy,Market,2.0014,,,68388,Filled,,2026-03-06 22:02:38,2026-03-06 22:02:38,2834248635,,10:1,"13,687.17 USD"
KRAKEN:WARUSD,Sell,Limit,672175.5019,0.0455,,0.04553,Filled,,2026-03-06 20:10:18,2026-03-06 20:17:06,2834144195,,,
KRAKEN:WARUSD,Sell,Stop,672175.5019,,0.04327,,Cancelled,,2026-03-06 20:10:18,2026-03-06 20:17:06,2834144194,,,
KRAKEN:WARUSD,Buy,Market,672175.5019,,,0.04443,Filled,,2026-03-06 20:10:18,2026-03-06 20:10:18,2834144193,,10:1,"2,986.48 USD"
CRYPTO:NEARUSD,Buy,Market,0.9995,,,1.24,Filled,,2026-03-06 20:01:30,2026-03-06 20:01:30,2834137702,,10:1,0.12 USD
COINBASE:FILUSD,Buy,Limit,0.9989,0.96,,,Cancelled,,2026-03-06 20:01:21,2026-03-06 22:05:49,2834137595,,,
COINBASE:FILUSD,Buy,Stop,0.9989,,1.009,,Cancelled,,2026-03-06 20:01:21,2026-03-06 22:05:49,2834137594,,,
COINBASE:FILUSD,Sell,Market,0.9989,,,0.98,Filled,,2026-03-06 20:01:21,2026-03-06 20:01:21,2834137593,,10:1,0.10 USD
COINBASE:ETHUSD,Buy,Market,0.9997,,,1982.72,Filled,,2026-03-06 20:01:15,2026-03-06 20:01:15,2834137519,,10:1,198.21 USD
OKX:COINUSDT.P,Sell,Market,0.9997,,,196.34,Filled,,2026-03-06 20:01:09,2026-03-06 20:01:09,2834137449,,10:1,19.63 USD
BITSTAMP:BTCUSD,Buy,Limit,1.0007,66935,,,Cancelled,,2026-03-06 20:01:03,2026-03-06 22:02:38,2834137345,,,
BITSTAMP:BTCUSD,Buy,Stop,1.0007,,70636,,Cancelled,,2026-03-06 20:01:03,2026-03-06 22:02:38,2834137344,,,
BITSTAMP:BTCUSD,Sell,Market,1.0007,,,68301,Filled,,2026-03-06 20:01:03,2026-03-06 20:01:04,2834137343,,10:1,"6,834.88 USD"
