json_symbol,json_strategy,json_entry_time,json_exit_time,json_status,json_pnl_pct,db_id_match,db_created_at,db_closed_at,WOULD_FIX
ETHUSDT,drawdown_recovery_rsi_eth,2026-02-24T06:00:00+00:00,2026-02-24T18:00:00+00:00,WIN,1.8976,iso_battleground_ETHUSDT_9141414325,2026-04-16 08:13:45,,NO
SOLUSDT,drawdown_recovery_rsi_sol,2026-02-24T06:00:00+00:00,2026-02-24T18:00:00+00:00,WIN,2.1688,iso_battleground_SOLUSDT_7886407340,2026-04-13 23:47:55,2026-04-14 01:33:27,NO
ETHUSDT,multi_period_rsi_confluence_eth,2026-02-24T10:00:00+00:00,2026-02-24T22:00:00+00:00,WIN,1.9033,battleground_ethusdt_buy_multi_period_rsi_confluence__2026_0,2026-02-24 10:00:00,2026-04-10 22:43:01,NO
SOLUSDT,drawdown_recovery_rsi_sol,2026-02-24T12:00:00+00:00,2026-02-24T22:00:00+00:00,WIN,2.8986,iso_battleground_SOLUSDT_7886407340,2026-04-13 23:47:55,2026-04-14 01:33:27,NO
ETHUSDT,multi_period_rsi_confluence_eth,2026-02-24T14:00:00+00:00,2026-02-25T01:00:00+00:00,WIN,3.5376,battleground_ethusdt_buy_multi_period_rsi_confluence__2026_0,2026-02-24 10:00:00,2026-04-10 22:43:01,NO
BTCUSDT,crypto_liquidity_wick_reversal_v1,2026-02-25T13:00:00+00:00,2026-02-25T14:00:00+00:00,LOSS,-1.1088,,,,YES
BTCUSDT,crypto_liquidity_wick_reversal_v1,2026-02-25T21:00:00+00:00,2026-02-26T09:00:00+00:00,WIN,0.5163,,,,YES
BTCUSDT,crypto_soc_micro_noise_filter_a07_v1,2026-02-25T23:00:00+00:00,2026-02-26T11:00:00+00:00,WIN,0.0864,,,,YES
ETHUSDT,drawdown_recovery_rsi_eth,2026-02-27T16:00:00+00:00,2026-02-28T04:00:00+00:00,LOSS,-0.1328,iso_battleground_ETHUSDT_9141414325,2026-04-16 08:13:45,,NO
BTCUSDT,crypto_liquidity_wick_reversal_v1,2026-02-27T17:00:00+00:00,2026-02-28T05:00:00+00:00,LOSS,-0.228,,,,YES
ETHUSDT,drawdown_recovery_rsi_eth,2026-02-27T20:00:00+00:00,2026-02-28T06:00:00+00:00,LOSS,-1.4687,iso_battleground_ETHUSDT_9141414325,2026-04-16 08:13:45,,NO
BTCUSDT,crypto_liquidity_wick_reversal_v1,2026-02-27T22:00:00+00:00,2026-02-28T06:00:00+00:00,LOSS,-1.0552,,,,YES
ETHUSDT,multi_period_rsi_confluence_eth,2026-02-28T00:00:00+00:00,2026-02-28T06:00:00+00:00,LOSS,-1.4751,battleground_ethusdt_buy_multi_period_rsi_confluence__2026_0,2026-02-24 10:00:00,2026-04-10 22:43:01,NO
ETHUSDT,multi_period_rsi_confluence_eth,2026-02-28T05:00:00+00:00,2026-02-28T06:00:00+00:00,LOSS,-1.1607,battleground_ethusdt_buy_multi_period_rsi_confluence__2026_0,2026-02-24 10:00:00,2026-04-10 22:43:01,NO
SOLUSDT,drawdown_recovery_rsi_sol,2026-02-28T06:00:00+00:00,2026-02-28T13:00:00+00:00,WIN,2.8999,iso_battleground_SOLUSDT_7886407340,2026-04-13 23:47:55,2026-04-14 01:33:27,NO
XRPUSDT,drawdown_recovery_rsi_xrp,2026-02-28T06:00:00+00:00,2026-02-28T09:00:00+00:00,LOSS,-1.5385,,,,YES
ETHUSDT,drawdown_recovery_rsi_eth,2026-02-28T09:00:00+00:00,2026-02-28T18:00:00+00:00,WIN,3.6085,iso_battleground_ETHUSDT_9141414325,2026-04-16 08:13:45,,NO
XRPUSDT,drawdown_recovery_rsi_xrp,2026-02-28T10:00:00+00:00,2026-02-28T13:00:00+00:00,WIN,3.876,,,,YES
BTCUSDT,crypto_liquidity_wick_reversal_v1,2026-03-02T16:00:00+00:00,2026-03-03T04:00:00+00:00,WIN,1.8881,,,,YES
BTCUSDT,crypto_liquidity_wick_reversal_v1,2026-03-04T14:00:00+00:00,2026-03-04T15:00:00+00:00,LOSS,-1.4543,,,,YES
BTCUSDT,crypto_soc_micro_noise_filter_a07_v1,2026-03-04T15:00:00+00:00,2026-03-05T03:00:00+00:00,LOSS,-1.2694,,,,YES
BTCUSDT,crypto_liquidity_wick_reversal_v1,2026-03-06T01:00:00+00:00,2026-03-06T05:00:00+00:00,LOSS,-1.13,,,,YES
ETHUSDT,drawdown_recovery_rsi_eth,2026-03-06T14:00:00+00:00,2026-03-07T02:00:00+00:00,WIN,0.0863,iso_battleground_ETHUSDT_9141414325,2026-04-16 08:13:45,,NO
ETHUSDT,drawdown_recovery_rsi_eth,2026-03-06T18:00:00+00:00,2026-03-07T06:00:00+00:00,LOSS,-0.1494,iso_battleground_ETHUSDT_9141414325,2026-04-16 08:13:45,,NO
ETHUSDT,multi_period_rsi_confluence_eth,2026-03-06T22:00:00+00:00,2026-03-07T10:00:00+00:00,LOSS,-0.1525,battleground_ethusdt_buy_multi_period_rsi_confluence__2026_0,2026-02-24 10:00:00,2026-04-10 22:43:01,NO
ETHUSDT,multi_period_rsi_confluence_eth,2026-03-07T02:00:00+00:00,2026-03-07T14:00:00+00:00,WIN,0.1603,battleground_ethusdt_buy_multi_period_rsi_confluence__2026_0,2026-02-24 10:00:00,2026-04-10 22:43:01,NO
BTCUSDT,crypto_soc_micro_noise_filter_a07_v1,2026-03-08T02:00:00+00:00,2026-03-08T08:00:00+00:00,LOSS,-0.8274,,,,YES
ETHUSDT,multi_period_rsi_confluence_eth,2026-03-08T02:00:00+00:00,2026-03-08T14:00:00+00:00,WIN,0.1689,battleground_ethusdt_buy_multi_period_rsi_confluence__2026_0,2026-02-24 10:00:00,2026-04-10 22:43:01,NO
BTCUSDT,atr_percentile_gate,2026-03-08T08:00:00+00:00,2026-03-08T16:00:00+00:00,LOSS,-0.8303,,,,YES
BTCUSDT,atr_percentile_gate,2026-03-08T19:00:00+00:00,2026-03-08T22:00:00+00:00,LOSS,-0.9877,,,,YES
BTCUSDT,crypto_liquidity_wick_reversal_v1,2026-03-15T05:00:00+00:00,2026-03-15T09:00:00+00:00,LOSS,-0.4289,,,,YES
BTCUSDT,crypto_soc_micro_noise_filter_a07_v1,2026-03-15T21:00:00+00:00,2026-03-16T03:00:00+00:00,WIN,1.2394,,,,YES
BTCUSDT,crypto_soc_micro_noise_filter_a07_v1,2026-03-16T03:00:00+00:00,2026-03-16T15:00:00+00:00,LOSS,-0.3987,,,,YES
BTCUSDT,crypto_liquidity_wick_reversal_v1,2026-03-16T04:00:00+00:00,2026-03-16T16:00:00+00:00,WIN,0.1025,,,,YES
BTCUSDT,crypto_soc_micro_noise_filter_a07_v1,2026-03-16T08:00:00+00:00,2026-03-16T20:00:00+00:00,WIN,1.5018,,,,YES
XRPUSDT,drawdown_recovery_rsi_xrp,2026-03-18T14:00:00+00:00,2026-03-19T02:00:00+00:00,WIN,0.4979,,,,YES
XRPUSDT,drawdown_recovery_rsi_xrp,2026-03-18T19:00:00+00:00,2026-03-19T07:00:00+00:00,WIN,0.7779,,,,YES
