system,symbol,trades,wins,wr_pct,avg_pnl_pct
cta_replicator,USDJPY=X,46,29,63.04,0.0012
cta_replicator,CL=F,9,4,44.44,0.0056
cta_replicator,NZDUSD=X,45,18,40.0,0.0
multi_asset_copytrader,USDCHF=X,8,8,100.0,0.0079
multi_asset_copytrader,AUDUSD=X,12,10,83.33,0.0058
multi_asset_copytrader,CT=F,53,34,64.15,0.0203
multi_asset_copytrader,EURGBP=X,21,13,61.9,0.0011
multi_asset_copytrader,RIOT,12,7,58.33,0.0167
multi_asset_copytrader,GBPUSD=X,20,10,50.0,0.0005
multi_asset_copytrader,USDCAD=X,27,11,40.74,-0.0002
multi_asset_copytrader,CADJPY=X,20,3,15.0,-0.0035
multi_asset_copytrader,NZDUSD=X,24,3,12.5,-0.0034
multi_asset_copytrader,AUDJPY=X,32,3,9.38,-0.0039
multi_asset_copytrader,GBPJPY=X,52,3,5.77,-0.0043
multi_asset_copytrader,USDJPY=X,89,3,3.37,-0.005
multi_asset_copytrader,EURJPY=X,110,2,1.82,-0.0051
multi_asset_copytrader,AMD,9,0,0.0,-0.03
multi_asset_copytrader,ZW=F,8,0,0.0,-0.0268
multi_asset_cot,CT=F,48,43,89.58,0.0386
quan_engine,XRPUSDT,51,26,50.98,-0.0167
quan_engine,TRXUSDT,245,121,49.39,-0.0182
quan_engine,BNBUSDT,67,31,46.27,-0.0373
quan_engine,ETCUSDT,211,95,45.02,-0.0476
quan_engine,DOGEUSDT,130,57,43.85,-0.1033
quan_engine,HYPEUSDT,553,230,41.59,-0.2231
quan_engine,KASUSDT,634,259,40.85,-0.0977
quan_engine,XLMUSDT,243,93,38.27,-0.1945
quan_engine,TAOUSDT,631,225,35.66,-0.1671
quan_engine,DOTUSDT,319,113,35.42,-0.2287
quan_engine,BTCUSDT,655,224,34.2,-0.1596
quan_engine,ETHUSDT,143,48,33.57,-0.2226
quan_engine,RENDERUSDT,240,74,30.83,-0.267
quan_engine,ICPUSDT,248,76,30.65,-0.2653
quan_engine,AVAXUSDT,111,33,29.73,-0.2353
quan_engine,ADAUSDT,66,19,28.79,-0.3293
quan_engine,LTCUSDT,89,21,23.6,-0.2351
quan_engine,SOLUSDT,118,27,22.88,-0.2355
quan_engine,ONDOUSDT,85,19,22.35,-0.3765
quan_engine,MATICUSDT,1057,0,0.0,-0.15
rapid_fire,ENJUSDT,9,8,88.89,0.0264
rapid_fire,TAOUSDT,18,1,5.56,-0.569
rapid_fire,UUSDT,34,0,0.0,-0.1687
