filter_dim,filter_value,30d_n,30d_wr,30d_pf,60d_n,60d_wr,60d_pf,90d_n,90d_wr,90d_pf,180d_n,180d_wr,180d_pf,stable_edge
baseline,all,998,29.36,0.78,1271,30.29,0.83,1271,30.29,0.83,1271,30.29,0.83,False
confidence_band,conf_lt_50,11,18.18,29.25,11,18.18,29.25,11,18.18,29.25,11,18.18,29.25,False
confidence_band,conf_50_60,25,4.00,999.0,25,4.00,999.0,25,4.00,999.0,25,4.00,999.0,False
confidence_band,conf_60_70,367,17.17,0.19,415,18.55,0.28,415,18.55,0.28,415,18.55,0.28,False
confidence_band,conf_70_80,579,38.69,0.68,804,37.56,1.3,804,37.56,1.3,804,37.56,1.3,False
confidence_band,conf_80_90,15,20.00,1.81,15,20.00,1.81,15,20.00,1.81,15,20.00,1.81,False
confidence_band,conf_gte_90,0,0,0,0,0,0,0,0,0,0,0,0,False
elite_score,elite_lt_30,252,25.00,1.13,326,26.38,0.55,326,26.38,0.55,326,26.38,0.55,False
elite_score,elite_30_50,374,27.81,1.04,527,30.17,0.85,527,30.17,0.85,527,30.17,0.85,False
elite_score,elite_50_70,348,34.20,0.2,394,33.76,1.0,394,33.76,1.0,394,33.76,1.0,False
elite_score,elite_gte_70,1,100.00,999.0,1,100.00,999.0,1,100.00,999.0,1,100.00,999.0,False
trust_score,trust_lt_5,0,0,0,0,0,0,0,0,0,0,0,0,False
trust_score,trust_5,0,0,0,0,0,0,0,0,0,0,0,0,False
trust_score,trust_6,0,0,0,0,0,0,0,0,0,0,0,0,False
trust_score,trust_7,0,0,0,0,0,0,0,0,0,0,0,0,False
trust_score,trust_8plus,0,0,0,0,0,0,0,0,0,0,0,0,False
direction,LONG,781,32.65,1.0,828,31.88,0.41,828,31.88,0.41,828,31.88,0.41,False
direction,SHORT,217,17.51,0.63,443,27.31,1.16,443,27.31,1.16,443,27.31,1.16,False
hour_of_day_utc,h00,30,16.67,0.56,36,19.44,0.58,36,19.44,0.58,36,19.44,0.58,False
hour_of_day_utc,h04,48,29.17,0.65,58,24.14,0.03,58,24.14,0.03,58,24.14,0.03,False
hour_of_day_utc,h08,34,44.12,1.33,38,44.74,1.87,38,44.74,1.87,38,44.74,1.87,False
hour_of_day_utc,h12,37,37.84,0.02,48,41.67,0.67,48,41.67,0.67,48,41.67,0.67,False
hour_of_day_utc,h14,39,20.51,0.21,39,20.51,0.21,39,20.51,0.21,39,20.51,0.21,False
hour_of_day_utc,h16,45,26.67,0.07,75,36.00,3.64,75,36.00,3.64,75,36.00,3.64,False
hour_of_day_utc,h18,47,29.79,1.03,47,29.79,1.03,47,29.79,1.03,47,29.79,1.03,False
hour_of_day_utc,h20,59,20.34,0.4,59,20.34,0.4,59,20.34,0.4,59,20.34,0.4,False
hour_of_day_utc,h22,39,12.82,1.88,47,21.28,1.08,47,21.28,1.08,47,21.28,1.08,False
hold_bucket,h_lt_2,180,27.22,0.49,197,26.90,0.7,197,26.90,0.7,197,26.90,0.7,False
hold_bucket,h_2_8,68,38.24,2.19,68,38.24,2.19,68,38.24,2.19,68,38.24,2.19,False
hold_bucket,h_8_24,54,14.81,0.17,54,14.81,0.17,54,14.81,0.17,54,14.81,0.17,False
hold_bucket,h_24_72,71,25.35,0.88,71,25.35,0.88,71,25.35,0.88,71,25.35,0.88,False
hold_bucket,h_72plus,68,20.59,0.77,68,20.59,0.77,68,20.59,0.77,68,20.59,0.77,False
