filter_dim,filter_value,30d_n,30d_wr,30d_pf,60d_n,60d_wr,60d_pf,90d_n,90d_wr,90d_pf,180d_n,180d_wr,180d_pf,stable_edge
baseline,all,1195,38.33,1.12,2151,41.28,1.01,2207,41.05,1.01,2207,41.05,1.01,False
confidence_band,conf_lt_50,234,50.43,0.18,527,49.91,0.85,548,49.27,0.85,548,49.27,0.85,False
confidence_band,conf_50_60,167,21.56,3.06,363,32.51,1.48,363,32.51,1.48,363,32.51,1.48,False
confidence_band,conf_60_70,121,32.23,1.88,309,36.57,0.64,321,35.83,0.64,321,35.83,0.64,False
confidence_band,conf_70_80,30,53.33,1.11,116,40.52,0.51,129,39.53,0.51,129,39.53,0.51,False
confidence_band,conf_80_90,381,36.75,1.1,532,43.05,1.04,542,43.17,1.04,542,43.17,1.04,False
confidence_band,conf_gte_90,155,23.23,0.35,190,23.68,0.35,190,23.68,0.35,190,23.68,0.35,False
elite_score,elite_lt_30,7,28.57,0.0,26,19.23,0.33,26,19.23,0.33,26,19.23,0.33,False
elite_score,elite_30_50,115,22.61,2.67,331,24.17,0.9,331,24.17,0.9,331,24.17,0.9,False
elite_score,elite_50_70,381,39.63,1.1,416,39.66,1.11,416,39.66,1.11,416,39.66,1.11,False
elite_score,elite_gte_70,11,54.55,1007.81,19,57.89,2700.14,19,57.89,2700.14,19,57.89,2700.14,False
trust_score,trust_lt_5,0,0,0,0,0,0,0,0,0,0,0,0,False
trust_score,trust_5,0,0,0,0,0,0,0,0,0,0,0,0,False
trust_score,trust_6,0,0,0,0,0,0,0,0,0,0,0,0,False
trust_score,trust_7,0,0,0,0,0,0,0,0,0,0,0,0,False
trust_score,trust_8plus,0,0,0,0,0,0,0,0,0,0,0,0,False
direction,LONG,649,40.68,0.73,1289,43.99,0.75,1323,43.46,0.75,1323,43.46,0.75,False
direction,SHORT,546,35.53,1.51,862,37.24,1.26,884,37.44,1.26,884,37.44,1.26,False
hour_of_day_utc,h00,124,42.74,1.43,223,41.70,1.35,225,42.22,1.35,225,42.22,1.35,False
hour_of_day_utc,h04,22,36.36,1.48,57,42.11,0.94,59,42.37,0.94,59,42.37,0.94,False
hour_of_day_utc,h08,26,26.92,0.21,67,28.36,0.55,67,28.36,0.55,67,28.36,0.55,False
hour_of_day_utc,h12,30,50.00,10.0,66,48.48,0.94,66,48.48,0.94,66,48.48,0.94,False
hour_of_day_utc,h14,36,50.00,1.16,58,53.45,1.15,60,51.67,1.15,60,51.67,1.15,False
hour_of_day_utc,h16,82,35.37,1.58,134,40.30,1.55,134,40.30,1.55,134,40.30,1.55,False
hour_of_day_utc,h18,30,30.00,0.42,67,37.31,0.37,67,37.31,0.37,67,37.31,0.37,False
hour_of_day_utc,h20,73,31.51,0.83,123,31.71,0.75,123,31.71,0.75,123,31.71,0.75,False
hour_of_day_utc,h22,35,40.00,0.37,78,46.15,0.53,79,46.84,0.53,79,46.84,0.53,False
hold_bucket,h_lt_2,337,35.91,1.1,369,36.31,1.14,369,36.31,1.14,369,36.31,1.14,False
hold_bucket,h_2_8,89,21.35,0.52,173,28.32,1.22,173,28.32,1.22,173,28.32,1.22,False
hold_bucket,h_8_24,48,37.50,0.32,218,34.86,1.04,223,34.53,1.04,223,34.53,1.04,False
hold_bucket,h_24_72,53,41.51,2.05,182,60.99,0.65,182,60.99,0.65,182,60.99,0.65,False
hold_bucket,h_72plus,474,39.87,1.14,799,40.68,0.89,799,40.68,0.89,799,40.68,0.89,False
