filter_dim,filter_value,30d_n,30d_wr,30d_pf,60d_n,60d_wr,60d_pf,90d_n,90d_wr,90d_pf,180d_n,180d_wr,180d_pf,stable_edge
baseline,all,2151,32.08,0.09,2619,32.91,0.11,2622,32.88,0.11,2622,32.88,0.11,False
confidence_band,conf_lt_50,3,33.33,0.11,3,33.33,0.11,3,33.33,0.11,3,33.33,0.11,False
confidence_band,conf_50_60,126,53.17,0.7,143,49.65,1.28,143,49.65,1.28,143,49.65,1.28,False
confidence_band,conf_60_70,919,35.91,1.16,963,36.03,1.3,963,36.03,1.3,963,36.03,1.3,False
confidence_band,conf_70_80,557,35.73,4.27,949,36.25,2.85,949,36.25,2.85,949,36.25,2.85,False
confidence_band,conf_80_90,173,42.77,0.17,181,40.88,0.01,183,40.44,0.01,183,40.44,0.01,False
confidence_band,conf_gte_90,370,5.14,0.09,377,6.63,0.09,378,6.61,0.09,378,6.61,0.09,False
elite_score,elite_lt_30,193,41.45,0.83,312,37.50,0.44,312,37.50,0.44,312,37.50,0.44,False
elite_score,elite_30_50,487,34.09,2.15,717,36.40,2.2,717,36.40,2.2,717,36.40,2.2,False
elite_score,elite_50_70,887,38.33,0.7,970,38.35,4.19,970,38.35,4.19,970,38.35,4.19,False
elite_score,elite_gte_70,3,66.67,0.12,3,66.67,0.12,3,66.67,0.12,3,66.67,0.12,False
trust_score,trust_lt_5,0,0,0,0,0,0,0,0,0,0,0,0,False
trust_score,trust_5,0,0,0,0,0,0,0,0,0,0,0,0,False
trust_score,trust_6,0,0,0,0,0,0,0,0,0,0,0,0,False
trust_score,trust_7,0,0,0,0,0,0,0,0,0,0,0,0,False
trust_score,trust_8plus,0,0,0,0,0,0,0,0,0,0,0,0,False
direction,LONG,984,20.12,0.09,1258,23.53,0.1,1258,23.53,0.1,1258,23.53,0.1,False
direction,SHORT,1167,42.16,0.91,1361,41.59,2.41,1364,41.50,2.41,1364,41.50,2.41,False
hour_of_day_utc,h00,89,35.96,0.86,111,36.04,11.73,113,35.40,11.5,113,35.40,11.5,False
hour_of_day_utc,h04,65,32.31,0.09,88,27.27,0.43,88,27.27,0.43,88,27.27,0.43,False
hour_of_day_utc,h08,93,47.31,2.55,110,42.73,0.23,110,42.73,0.23,110,42.73,0.23,False
hour_of_day_utc,h12,70,25.71,0.05,82,25.61,0.07,82,25.61,0.07,82,25.61,0.07,False
hour_of_day_utc,h14,78,37.18,10.56,83,37.35,13.04,83,37.35,13.04,83,37.35,13.04,False
hour_of_day_utc,h16,314,11.15,0.1,352,16.76,0.11,352,16.76,0.11,352,16.76,0.11,False
hour_of_day_utc,h18,84,33.33,0.75,91,32.97,0.31,91,32.97,0.31,91,32.97,0.31,False
hour_of_day_utc,h20,89,46.07,0.99,89,46.07,0.99,89,46.07,0.99,89,46.07,0.99,False
hour_of_day_utc,h22,67,25.37,0.07,90,31.11,1.76,90,31.11,1.76,90,31.11,1.76,False
hold_bucket,h_lt_2,322,40.06,1.0,351,37.89,0.75,351,37.89,0.75,351,37.89,0.75,False
hold_bucket,h_2_8,80,33.75,0.64,95,29.47,0.34,96,29.17,0.34,96,29.17,0.34,False
hold_bucket,h_8_24,28,25.00,1.82,35,25.71,19.15,35,25.71,19.15,35,25.71,19.15,False
hold_bucket,h_24_72,67,5.97,0.47,73,5.48,0.52,73,5.48,0.52,73,5.48,0.52,False
hold_bucket,h_72plus,373,6.17,0.09,380,6.58,0.09,380,6.58,0.09,380,6.58,0.09,False
