,equity
2014-02-11,1.0109438435687987
2014-02-12,1.0114438802302423
2014-02-13,1.016665741300748
2014-02-14,1.02227659512246
2014-02-18,1.0234987562658222
2014-02-19,1.0167213480222106
2014-02-20,1.0227210250624412
2014-02-21,1.0215543858741978
2014-02-24,1.0238863280398973
2014-02-25,1.0254526164663236
2014-02-26,1.026986163618211
2014-02-27,1.0323752780323971
2014-02-28,1.033177601252821
2014-03-03,1.0312589773109588
2014-03-04,1.0345443211084242
2014-03-05,1.0354818978147067
2014-03-06,1.0344371259335223
2014-03-07,1.0348769009755387
2014-03-10,1.0351642315015406
2014-03-11,1.0331166369553644
2014-03-12,1.0352911010630703
2014-03-13,1.0401082154002381
2014-03-14,1.043659836338218
2014-03-17,1.04629112765508
2014-03-18,1.0513067454487923
2014-03-19,1.043624709743466
2014-03-20,1.0467747646040106
2014-03-21,1.0434347605224539
2014-03-24,1.0414827365420456
2014-03-25,1.0436465646297313
2014-03-26,1.0421030509466618
2014-03-27,1.0415153687736622
2014-03-28,1.0422462416186349
2014-03-31,1.0465678022869997
2014-04-01,1.0479799882158374
2014-04-02,1.0474582866790265
2014-04-03,1.0471284579194138
2014-04-04,1.0441540527376003
2014-04-07,1.0396178086401824
2014-04-08,1.0424756343325265
2014-04-09,1.0536831776252882
2014-04-10,1.044838924618442
2014-04-11,1.0412044559426523
2014-04-14,1.0444938947241422
2014-04-15,1.0487027804443052
2014-04-16,1.0533785815279924
2014-04-17,1.0548499866622065
2014-04-21,1.056585612510644
2014-04-22,1.0587788402134413
2014-04-23,1.0588920883131328
2014-04-24,1.059809670624669
2014-04-25,1.0561926106086932
2014-04-28,1.0570893205405618
2014-04-29,1.060016502458396
2014-04-30,1.0629997413463554
2014-05-01,1.0635757340177532
2014-05-02,1.0635922006676788
2014-05-05,1.0642991099573427
2014-05-06,1.0602903222165005
2014-05-07,1.063825771672297
2014-05-08,1.0638292358011066
2014-05-09,1.0642089685414426
2014-05-12,1.0679910352371484
2014-05-13,1.0705540936194242
2014-05-14,1.0704638682763932
2014-05-15,1.067680882989241
2014-05-16,1.0684000316770546
2014-05-19,1.0696890142608857
2014-05-20,1.0678693687601182
2014-05-21,1.0715432333979458
2014-05-22,1.0722768299554541
2014-05-23,1.075515124057694
2014-05-27,1.0789762540168772
2014-05-28,1.0815495446868655
2014-05-29,1.0836721591198257
2014-05-30,1.0848195355067207
2014-06-02,1.0830984709263782
2014-06-03,1.0800924299356458
2014-06-04,1.0807646472429475
2014-06-05,1.085078047557659
2014-06-06,1.0899297382211683
2014-06-09,1.0933545763167765
2014-06-10,1.0939253826660444
2014-06-11,1.091356808529428
2014-06-12,1.0896206877440173
2014-06-13,1.090223750292721
2014-06-16,1.0906729934614328
2014-06-17,1.0877684905936742
2014-06-18,1.0946291395581633
2014-06-19,1.0938600463382666
2014-06-20,1.0929961825318795
2014-06-23,1.0924566429357532
2014-06-24,1.0913997067576653
2014-06-25,1.0943953306461316
2014-06-26,1.0954348254459565
2014-06-27,1.0964997829195349
2014-06-30,1.0966435671193173
2014-07-01,1.1086714820528614
2014-07-02,1.1105398519090979
2014-07-03,1.117546394782781
2014-07-07,1.1169650388729
2014-07-08,1.1159306101175521
2014-07-09,1.124217773323886
2014-07-10,1.123192246645929
2014-07-11,1.1248880771729701
2014-07-14,1.1316182743314966
2014-07-15,1.1300659391758954
2014-07-16,1.1329783027737468
2014-07-17,1.1458760835079171
2014-07-18,1.1505738992188814
2014-07-21,1.1496636125523574
2014-07-22,1.1528886178970077
2014-07-23,1.1541128432318113
2014-07-24,1.152807144241922
2014-07-25,1.1523363291368312
2014-07-28,1.1519039948638847
2014-07-29,1.1502059161025626
2014-07-30,1.1462536494921713
2014-07-31,1.1394756098410117
2014-08-01,1.1463111493661915
2014-08-04,1.1507818034365773
2014-08-05,1.1454803073161068
2014-08-06,1.1461564675712272
2014-08-07,1.1456490196562095
2014-08-08,1.151781416327655
2014-08-11,1.153173823259434
2014-08-12,1.1515396907626505
2014-08-13,1.1573203079342633
2014-08-14,1.1612178275759106
2014-08-15,1.1597361324989977
2014-08-18,1.1627711870011694
2014-08-19,1.1692869161928592
2014-08-20,1.1692869161928592
2014-08-21,1.172226327188425
2014-08-22,1.174004241597331
2014-08-25,1.1781526482657898
2014-08-26,1.1793378943955661
2014-08-27,1.179574907450128
2014-08-28,1.1782712000073123
2014-08-29,1.1826566197303328
2014-09-02,1.1860938968066224
2014-09-03,1.179100881341004
2014-09-04,1.1761547990263774
2014-09-05,1.1820716659458317
2014-09-08,1.1799174616181558
2014-09-09,1.1748175631539117
2014-09-10,1.1755523752191213
2014-09-11,1.1754880272113641
2014-09-12,1.1698320346526792
2014-09-15,1.1721984837229193
2014-09-16,1.1764459270864074
2014-09-17,1.175751705032451
2014-09-18,1.1846114838889716
2014-09-19,1.181067626422162
2014-09-22,1.1777688966758784
2014-09-23,1.1756536762622594
2014-09-24,1.1786063191859846
2014-09-25,1.1719555357673404
2014-09-26,1.1753669955580335
2014-09-29,1.1761738972778348
2014-09-30,1.1741155389255846
2014-10-01,1.1700123153064557
2014-10-02,1.1683638318134493
2014-10-03,1.1746267772831227
2014-10-06,1.1748997643681833
2014-10-07,1.169273010526713
2014-10-08,1.1815632399547948
2014-10-09,1.181406486586512
2014-10-10,1.176972033287088
2014-10-13,1.1846988878240596
2014-10-14,1.1862234747658464
2014-10-15,1.1915780915425729
2014-10-16,1.1911104721970396
2014-10-17,1.188226470158985
2014-10-20,1.1948351200928595
2014-10-21,1.2050398643930327
2014-10-22,1.2005848468497853
2014-10-23,1.2050697092586824
2014-10-24,1.2149251523990985
2014-10-27,1.2147231043767681
2014-10-28,1.2201955433613294
2014-10-29,1.2172476975661473
2014-10-30,1.2217864665763554
2014-10-31,1.2277849892437944
2014-11-03,1.2268338840503492
2014-11-04,1.2246472233328245
2014-11-05,1.2286900462737447
2014-11-06,1.2292738592050447
2014-11-07,1.2281858513227346
2014-11-10,1.2325376983969643
2014-11-11,1.23640599665989
2014-11-12,1.2385819201970047
2014-11-13,1.243900864893842
2014-11-14,1.2477691631567678
2014-11-17,1.2440217751535443
2014-11-18,1.253329836145504
2014-11-19,1.2476482528970652
2014-11-20,1.2532089258858017
2014-11-21,1.255626669942321
2014-11-24,1.2654182797455849
2014-11-25,1.2673523827632949
2014-11-26,1.2700541049744003
2014-11-28,1.2711698092053492
2014-12-01,1.2641190382751402
2014-12-02,1.265395415761671
2014-12-03,1.2680799631612578
2014-12-04,1.2696059675704825
2014-12-05,1.2697263916493577
2014-12-08,1.279330436654358
2014-12-09,1.2812627548744204
2014-12-10,1.2829214339341988
2014-12-11,1.2803672090825635
2014-12-12,1.2840915578908318
2014-12-15,1.277341108611784
2014-12-16,1.2754539149136122
2014-12-17,1.2835525404769796
2014-12-18,1.3026592107663773
2014-12-19,1.3056240894700004
2014-12-22,1.3145185580262662
2014-12-23,1.316165703553023
2014-12-24,1.3150676344609522
2014-12-26,1.3236326906673268
2014-12-29,1.3292329519473802
2014-12-30,1.3214364687058837
2014-12-31,1.3156290390475918
2015-01-02,1.3186284432746114
2015-01-05,1.3107443264173422
2015-01-06,1.3089739802510798
2015-01-07,1.325093576827153
2015-01-08,1.3475700571257496
2015-01-09,1.3346290323217758
2015-01-12,1.331750173079112
2015-01-13,1.3304918213995263
2015-01-14,1.3295426490044484
2015-01-15,1.351953374028883
2015-01-16,1.3558352421447815
2015-01-20,1.3666847414212389
2015-01-21,1.3635994168261578
2015-01-22,1.3720464726306618
2015-01-23,1.3727730828670872
2015-01-26,1.37280963035467
2015-01-27,1.3647002867925386
2015-01-28,1.3645765989280583
2015-01-29,1.3684638662727586
2015-01-30,1.3658535645548924
2015-02-02,1.3723341623912069
2015-02-03,1.3764678089856266
2015-02-04,1.3749805370031627
2015-02-05,1.3927469290148957
2015-02-06,1.39123730839118
2015-02-09,1.3802059151503452
2015-02-10,1.3890310828986687
2015-02-11,1.3870569704363298
2015-02-12,1.402849338578484
2015-02-13,1.4112100144881843
2015-02-17,1.415622642658726
2015-02-18,1.417132174689682
2015-02-19,1.4172483197975274
2015-02-20,1.4210802224288406
2015-02-23,1.4224736979447106
2015-02-24,1.424331665299204
2015-02-25,1.4259573424380056
2015-02-26,1.4311827205851886
2015-02-27,1.4234026816219574
2015-03-02,1.433737381401237
2015-03-03,1.4252605603836912
2015-03-04,1.4208480208059093
2015-03-05,1.4250283587607595
2015-03-06,1.4077202790459715
2015-03-09,1.4139069446465564
2015-03-10,1.4054405463939448
2015-03-11,1.4050495266877172
2015-03-12,1.4146402980027852
2015-03-13,1.4092423076424878
2015-03-16,1.4211030462927408
2015-03-17,1.4187175628505098
2015-03-18,1.4353880169382263
2015-03-19,1.4381516756107375
2015-03-20,1.4508185397028004
2015-03-23,1.4495518445080815
2015-03-24,1.4492063981559082
2015-03-25,1.435457423370384
2015-03-26,1.4297060077793078
2015-03-27,1.4341305536773565
2015-03-30,1.4428122976787183
2015-03-31,1.4383759473721376
2015-04-01,1.4380886822807264
2015-04-02,1.438625342553202
2015-04-06,1.444397436348126
2015-04-07,1.4430849577884508
2015-04-08,1.4554973407908565
2015-04-09,1.4502771251239908
2015-04-10,1.4572374126798113
2015-04-13,1.455425051517088
2015-04-14,1.4589674454975365
2015-04-15,1.4626435972764196
2015-04-16,1.4629734263257332
2015-04-17,1.4560384061576495
2015-04-20,1.4613541219652273
2015-04-21,1.458938761451297
2015-04-22,1.458289748378065
2015-04-23,1.4623540693631112
2015-04-24,1.4666174428844152
2015-04-27,1.462420946444943
2015-04-28,1.4613744506337583
2015-04-29,1.4556606888473227
2015-04-30,1.4481645268104897
2015-05-01,1.4509642516420775
2015-05-04,1.451535269180024
2015-05-05,1.4419978972892786
2015-05-06,1.438095513581907
2015-05-07,1.444020822933319
2015-05-08,1.4563114362569494
2015-05-11,1.445671960573288
2015-05-12,1.4440569694317453
2015-05-13,1.443238668364743
2015-05-14,1.4643527400190506
2015-05-15,1.470397348744052
2015-05-18,1.467721792383556
2015-05-19,1.4642270924380356
2015-05-20,1.4653070554525631
2015-05-21,1.4718048003112054
2015-05-22,1.468387010496964
2015-05-26,1.465057644844579
2015-05-27,1.4715994930426284
2015-05-28,1.4714584859989521
2015-05-29,1.467300505550925
2015-06-01,1.4644031907333492
2015-06-02,1.4585782847570148
2015-06-03,1.4542914571932848
2015-06-04,1.4516935993886582
2015-06-05,1.4452037900329826
2015-06-08,1.4417983846968652
2015-06-09,1.4393500132501489
2015-06-10,1.4452186540491023
2015-06-11,1.4532564937516335
2015-06-12,1.447277453652375
2015-06-15,1.4522030905900702
2015-06-16,1.452356575988175
2015-06-17,1.4539449964815574
2015-06-18,1.460952626376376
2015-06-19,1.458078408006758
2015-06-22,1.4556777077844625
2015-06-23,1.4539717995474593
2015-06-24,1.4541956148937127
2015-06-25,1.451423942253447
2015-06-26,1.448729098286979
2015-06-29,1.4604316106899946
2015-06-30,1.4538999230842469
2015-07-01,1.4464618265535951
2015-07-02,1.4476065310930615
2015-07-06,1.450663824931902
2015-07-07,1.4571519168669995
2015-07-08,1.462217873821197
2015-07-09,1.4588961721095852
2015-07-10,1.4630274141641328
2015-07-13,1.4691439078623423
2015-07-14,1.4788005209553543
2015-07-15,1.4813799380531052
2015-07-16,1.5023163436179554
2015-07-17,1.5244604631775012
2015-07-20,1.5296946413627361
2015-07-21,1.5287880022222389
2015-07-22,1.5283613391996334
2015-07-23,1.5271805179194726
2015-07-24,1.5199829955585487
2015-07-27,1.518962305276312
2015-07-28,1.5261445788414494
2015-07-29,1.5303124704751454
2015-07-30,1.537583324075376
2015-07-31,1.5357998360615002
2015-08-03,1.5343640194600114
2015-08-04,1.5289065076863506
2015-08-05,1.528470249471151
2015-08-06,1.524889605192033
2015-08-07,1.5264465043172684
2015-08-10,1.5329072173511684
2015-08-11,1.53105337232288
2015-08-12,1.5316835059535718
2015-08-13,1.528719799494869
2015-08-14,1.5310751668917935
2015-08-17,1.543821400923367
2015-08-18,1.5359242661752794
2015-08-19,1.5345499786576056
2015-08-20,1.5499901511553849
2015-08-21,1.5579401574556166
2015-08-24,1.5550369513291555
2015-08-25,1.5411455005052768
2015-08-26,1.5258849841227475
2015-08-27,1.5258806356654055
2015-08-28,1.5260621802772347
2015-08-31,1.5256154042103705
2015-09-01,1.5305023977408223
2015-09-02,1.542947214091192
2015-09-03,1.5453854778680247
2015-09-04,1.5360804901917327
2015-09-08,1.5520075883527733
2015-09-09,1.5422670128415916
2015-09-10,1.5423463984915844
2015-09-11,1.5478821371703688
2015-09-14,1.5490456876145897
2015-09-15,1.5406137166211715
2015-09-16,1.5506515658410414
2015-09-17,1.5650474841592628
2015-09-18,1.5519461205709497
2015-09-21,1.5515401137339973
2015-09-22,1.5453285402193737
2015-09-23,1.5432276379535625
2015-09-24,1.541591612724621
2015-09-25,1.5393776666606576
2015-09-28,1.5340280616999205
2015-09-29,1.5335557431631475
2015-09-30,1.5480047811332225
2015-10-01,1.5494502649111235
2015-10-02,1.5647603370730772
2015-10-05,1.574348591715483
2015-10-06,1.5732593648418163
2015-10-07,1.5805644267592445
2015-10-08,1.587869342012243
2015-10-09,1.5947898497948436
2015-10-12,1.5967121804756927
2015-10-13,1.5924214192826394
2015-10-14,1.5929580262187109
2015-10-15,1.6133706421981162
2015-10-16,1.6164518693985543
2015-10-19,1.616475404478227
2015-10-20,1.6126726325054228
2015-10-21,1.6104429994612885
2015-10-22,1.6467454977871903
2015-10-23,1.6927030773085738
2015-10-26,1.6928278616239365
2015-10-27,1.696847564076815
2015-10-28,1.7021000450892083
2015-10-29,1.6963847680778388
2015-10-30,1.6943968851167397
2015-11-02,1.7006994439130738
2015-11-03,1.7009302678984992
2015-11-04,1.697470400774404
2015-11-05,1.6960633916670658
2015-11-06,1.7018206241776739
2015-11-09,1.692426757727517
2015-11-10,1.6959876886862877
2015-11-11,1.6922513077651977
2015-11-12,1.6809215434342704
2015-11-13,1.6746742220292048
2015-11-16,1.6885155115460178
2015-11-17,1.6889079411326888
2015-11-18,1.714420206295323
2015-11-19,1.7222701455549905
2015-11-20,1.7348299884804028
2015-11-23,1.724625022525294
2015-11-24,1.7250176018371033
2015-11-25,1.7253813279169437
2015-11-27,1.727263566260825
2015-11-30,1.7240029740799157
2015-12-01,1.7354633190209632
2015-12-02,1.7241706254009261
2015-12-03,1.7030329570030187
2015-12-04,1.7227913767732987
2015-12-07,1.7203415930706956
2015-12-08,1.7222522048974387
2015-12-09,1.7218753008526084
2015-12-10,1.719258115652394
2015-12-11,1.730839057834966
2015-12-14,1.7133675999288625
2015-12-15,1.708916328454139
2015-12-16,1.7170094406796346
2015-12-17,1.7075041769803405
2015-12-18,1.690392694131602
2015-12-21,1.6977619318514363
2015-12-22,1.7089223003572558
2015-12-23,1.721611588726522
2015-12-24,1.7213057580977489
2015-12-28,1.7195015422721853
2015-12-29,1.7465478864412112
2015-12-30,1.7406896575314625
2015-12-31,1.7329734677289803
2016-01-04,1.7488787312925695
2016-01-05,1.7501103399157376
2016-01-06,1.7443550762707403
2016-01-07,1.725311058901565
2016-01-08,1.7180213265638473
2016-01-11,1.7161459772537226
2016-01-12,1.7269253499936235
2016-01-13,1.7087701667410293
2016-01-14,1.721051355381949
2016-01-15,1.7339083925192058
2016-01-19,1.7319515074814271
2016-01-20,1.7477834239088559
2016-01-21,1.7466015675748918
2016-01-22,1.7625789205820868
2016-01-25,1.7745848042874897
2016-01-26,1.7853614938687694
2016-01-27,1.7893489782465546
2016-01-28,1.7951650490672988
2016-01-29,1.8218425580104338
2016-02-01,1.8180903882172448
2016-02-02,1.8081468891818415
2016-02-03,1.8125757031289702
2016-02-04,1.8161518599654336
2016-02-05,1.8000127159879595
2016-02-08,1.794622130447174
2016-02-09,1.7948327764808696
2016-02-10,1.7967363894031405
2016-02-11,1.836971270595594
2016-02-12,1.8489012922595354
2016-02-16,1.8617456104086747
2016-02-17,1.874671511406258
2016-02-18,1.875178892761304
2016-02-19,1.874739621491442
2016-02-22,1.887378731281746
2016-02-23,1.8773412134690919
2016-02-24,1.881636244473899
2016-02-25,1.8958383872162472
2016-02-26,1.8890425205056418
2016-02-29,1.8831752084151814
2016-03-01,1.8966230039415586
