title,date,source,url,location
Museum Highlights,2026-05-01T11:00:00Z,ROM,https://www.rom.on.ca/whats-on/events/museum-tours-museum-highlights,Royal Ontario Museum
Adults,2026-05-01T11:00:00Z,ROM,https://www.rom.on.ca/whats-on/events,Royal Ontario Museum
Dawn of Life Gallery,2026-05-01T12:00:00Z,ROM,https://www.rom.on.ca/whats-on/events/museum-tours-dawn-life-gallery,Royal Ontario Museum
Raptors Fan Access Plus Ups: Courtside Access for Warmup- Rd 1 Hm Gm 3,2026-05-01T12:00:00Z,Scotiabank Arena,https://www.ticketmaster.ca/raptors-fan-access-plus-ups-courtside-toronto-ontario-05-01-2026/event/10006487977AA0E8,Scotiabank Arena
Raptors Fan Access Plus Ups: On-Court Flag Bearer - Rd 1 Hm Gm 3,2026-05-01T12:00:00Z,Scotiabank Arena,https://www.ticketmaster.ca/raptors-fan-access-plus-ups-oncourt-toronto-ontario-05-01-2026/event/10006487976EA0CD,Scotiabank Arena
Raptors Fan Access Plus Ups: Post Game Court Experience - Rd 1 Hm Gm 3,2026-05-01T12:00:00Z,Scotiabank Arena,https://www.ticketmaster.ca/raptors-fan-access-plus-ups-post-toronto-ontario-05-01-2026/event/100064879772A0D5,Scotiabank Arena
Raptors Fan Access Plus Ups: Starting Lineup Sheet - Rd 1 Hm Gm 3,2026-05-01T12:00:00Z,Scotiabank Arena,https://www.ticketmaster.ca/raptors-fan-access-plus-ups-starting-toronto-ontario-05-01-2026/event/100064879776A0DC,Scotiabank Arena
Art & Culture at ROM,2026-05-01T14:00:00Z,ROM,https://www.rom.on.ca/whats-on/events/museum-tours-art-culture-rom,Royal Ontario Museum
Museum Highlights in French,2026-05-01T14:00:00Z,ROM,https://www.rom.on.ca/whats-on/events/museum-tours-museum-highlights-french,Royal Ontario Museum
Fast Friending - Make Real Connections! (25-45/Bring a lady free),2026-05-02T19:00:00Z,Meetup,https://www.meetup.com/toronto-singles-in-the-city/events/314257297/,High Park
Singles Dance Party @ The Old Mill,2026-05-02T19:30:00Z,Meetup,https://www.meetup.com/singlespartiescom/events/314162517/,The Old Mill
Guided Tours of Scotiabank Arena,2026-05-04T12:00:00Z,Scotiabank Arena,https://www.ticketmaster.ca/guided-tours-of-scotiabank-arena-toronto-ontario-05-04-2026/event/1000649681D7666C,Scotiabank Arena
Social - Women Only - Panara Bread Coffee Chat ,2026-05-04T19:00:00Z,Meetup,https://www.meetup.com/mega-group-mississauga-events-golf-activities/events/314225714/,Panara Bread
Guided Tours of Scotiabank Arena,2026-05-05T12:00:00Z,Scotiabank Arena,https://www.ticketmaster.ca/guided-tours-of-scotiabank-arena-toronto-ontario-05-05-2026/event/1000649681DB6675,Scotiabank Arena
Dental Anti-Aging en periodontitis:rehabilitación con composites y matrices,2026-05-06T12:00:00Z,Eventbrite,https://www.eventbrite.com/e/entradas-dental-anti-aging-en-periodontitisrehabilitacion-con-composites-y-matrices-1983438773765,"Toronto, ON"
Guided Tours of Scotiabank Arena,2026-05-06T12:00:00Z,Scotiabank Arena,https://www.ticketmaster.ca/guided-tours-of-scotiabank-arena-toronto-ontario-05-06-2026/event/1000649681E0667C,Scotiabank Arena
Deglució disfuncional.  Valoració i intervenció logopèdica,2026-05-07T12:00:00Z,Eventbrite,https://www.eventbrite.es/e/registro-deglucio-disfuncional-valoracio-i-intervencio-logopedica-1981093060674,"Toronto, ON"
Guided Tours of Scotiabank Arena,2026-05-07T12:00:00Z,Scotiabank Arena,https://www.ticketmaster.ca/guided-tours-of-scotiabank-arena-toronto-ontario-05-07-2026/event/1000649681E46685,Scotiabank Arena
Paper Quilling: Lily of the Valley Workshop,2026-05-10T14:00:00-04:00Z,Toronto Botanical Garden,https://torontobotanicalgarden.ca/event/paper-quilling-lily-of-the-valley-workshop/,Toronto Botanical Garden
Somebody Anybody & DLT - RnB Brunch & Day-Party @ Lavelle (MAY EDITION),2026-05-17T12:00:00Z,Eventbrite,https://www.eventbrite.ca/e/somebody-anybody-dlt-rnb-brunch-day-party-lavelle-may-edition-tickets-1977978583188,Lavelle
"*Long Weekend NATURE WALK and NIGHTLIFE IN PORT CREDIT* (Walk, Talk & Flock!)  ",2026-05-17T16:00:00Z,Meetup,https://www.meetup.com/soulcity/events/313893623/,Starbucks
Curso de Fotocatálisis: Fundamentos y Aplicaciones (5ª edición),2026-05-18T12:00:00Z,Eventbrite,https://www.eventbrite.es/e/entradas-curso-de-fotocatalisis-fundamentos-y-aplicaciones-5a-edicion-1750732621399,"Toronto, ON"
The Small Business Show 2026,2026-05-22T12:00:00Z,Eventbrite,https://www.eventbrite.ca/e/the-small-business-show-2026-tickets-1977571099393,Metro Toronto Convention Centre (MTCC)
Top Gun: Maverick in Concert,2026-05-30T19:30:00Z,TO Live,https://www.ticketmaster.ca/top-gun-maverick-in-concert-toronto-ontario-05-30-2026/event/1000636CEA29FB43,Meridian Hall
