strategy,n_trades,n_raw,n_time_exits,date_range_days,trades_per_year,skipped,win_rate,avg_pnl_pct,total_pnl_pct,avg_win_pct,avg_loss_pct,profit_factor,max_drawdown,sharpe_ratio,sortino_ratio,bootstrap_ci_95_lower,bootstrap_ci_95_upper,bootstrap_p_value,wf_n_windows,wf_is_sharpe_mean,wf_oos_sharpe_mean,wf_consistency,wf_robust,wf_skipped,mc_bootstrap_sharpe_5pct,mc_bootstrap_prob_loss,mc_bootstrap_passes,mc_crash_sharpe_5pct,mc_crash_prob_loss,mc_crash_passes,mc_regime_sharpe_5pct,mc_regime_prob_loss,mc_regime_passes,gates_passed,gates_total,gate_sharpe_above_min,gate_pvalue_significant,gate_ci_lower_positive,gate_wf_consistent,gate_mc_bootstrap,gate_mc_crash_resilient,gate_winrate_above_40pct,gate_profit_factor_above_1,asset_class_breakdown
unknown,1267,1412,145,27,17128.0,False,0.4838,0.8659,1097.11,3.2533,-1.3718,2.2229,-0.3683,48.1469,256.2746,4.8435,6.5774,0.0,59,4.4275,4.3266,0.7797,True,False,4.9866,0.0,True,4.9073,0.0,True,2.7494,0.0,True,8,8,True,True,True,True,True,True,True,True,"{'CRYPTO': 1265, 'MEME': 1, 'UNKNOWN': 1}"
enhanced_ml_A_xgboost,777,777,0,27,10503.9,False,0.399,-0.005,-3.88,3.0,-1.9997,0.9958,-0.8506,-0.2268,-116.6824,-1.297,0.9673,0.3924,36,-inf,-inf,0.3889,False,False,-1.1238,0.6162,False,-1.2203,0.6666,False,-1.0704,0.566,False,1,8,False,False,False,False,False,True,False,False,"{'CRYPTO': 776, 'MEME': 1}"
luxalgo_confluence,322,340,18,27,4353.0,False,0.4224,0.3645,117.36,2.7699,-1.3943,1.4525,-0.2824,11.3314,55.3992,0.8814,4.2772,0.0017,14,2.7178,2.3078,0.6429,True,False,1.1323,0.0018,True,0.8933,0.0032,True,0.2256,0.0308,True,8,8,True,True,True,True,True,True,True,True,"{'CRYPTO': 321, 'MEME': 1}"
MeanReversionBB,154,223,69,25,2248.4,False,0.4675,0.3377,52.0,3.0,-2.0,1.3171,-0.3633,6.3592,0.0,-0.453,4.5087,0.0647,6,1.2935,-0.5034,0.6667,False,False,-0.0314,0.068,False,-0.55,0.0982,False,-0.7492,0.1424,False,5,8,True,False,False,True,False,True,True,True,"{'CRYPTO': 23, 'EQUITY': 121, 'FOREX': 10}"
hs_lb_None,99,173,74,25,1445.4,False,0.1616,-1.0985,-108.75,3.3125,-1.9488,0.3277,-0.7337,-21.3572,-215.5769,-15.2933,-5.0431,0.0,3,-inf,-inf,0.0,False,False,-14.1731,1.0,False,-13.196,1.0,False,-8.8284,1.0,False,1,8,False,True,False,False,False,False,False,False,"{'CRYPTO': 98, 'MEME': 1}"
claude_ml_moderate_mut,161,161,0,26,2260.2,False,0.472,0.4661,75.05,2.6295,-1.4681,1.6014,-0.1359,10.5425,59.1651,0.9604,5.8433,0.0036,6,3.6614,4.2899,0.8333,True,False,1.3405,0.0036,True,0.8466,0.0094,True,0.1189,0.0396,True,8,8,True,True,True,True,True,True,True,True,"{'CRYPTO': 160, 'MEME': 1}"
AuditEnsemble_LONG,123,123,0,19,2362.9,False,0.9675,3.0237,371.92,3.1792,-1.6025,59.0218,-0.0438,148.7505,148.7505,33.3164,85.2382,0.0,4,90.532,110.7184,1.0,True,False,35.2923,0.0,True,25.2273,0.0,True,25.199,0.0,True,8,8,True,True,True,True,True,True,True,True,{'CRYPTO': 123}
MomentumEMA,47,76,29,22,779.8,False,0.617,1.0851,51.0,3.0,-2.0,2.4167,-0.1155,12.2677,8.442448637777514e+16,2.0305,12.2856,0.0012,1,6.874,10.6553,1.0,True,False,3.3637,0.0012,True,1.4009,0.0074,True,0.4466,0.0324,True,8,8,True,True,True,True,True,True,True,True,"{'CRYPTO': 9, 'EQUITY': 35, 'FOREX': 3}"
signal_engine_momentum_mut,75,75,0,25,1095.0,False,0.3733,0.0772,5.79,2.5664,-1.4057,1.0876,-0.119,1.2317,6.6375,-3.3394,4.0286,0.4,2,0.9042,0.2499,0.5,True,False,-2.6881,0.39,False,-3.2911,0.6366,False,-2.716,0.4346,False,3,8,True,False,False,True,False,False,False,True,{'CRYPTO': 75}
Multi-Timeframe Trend Alignment,68,68,0,21,1181.9,False,0.9706,3.3472,227.61,3.5,-1.695,68.1416,-0.0239,128.8045,128.8045,34.6694,7.907506409174728e+16,0.0,2,inf,inf,1.0,True,False,36.7818,0.0,True,22.6506,0.0,True,29.9585,0.0,True,8,8,True,True,True,True,True,True,True,True,{'CRYPTO': 68}
