id,algorithm_name,strategy_type,total_picks,total_trades,win_rate,avg_return_pct,best_for,worst_for,updated_at
1,Adversarial Trend (V2),learning_scan,18,18,5.56,-3.4014,No profitable params found,Current default: -5.0421% return,2026-05-11 08:25:49
2,Blue Chip Growth,learning_scan,298,298,7.05,-6.4194,No profitable params found,Current default: -76.8463% return,2026-03-11 22:59:14
3,Composite Rating,learning_scan,13,13,23.08,-4.674,No profitable params found,Current default: -5.3985% return,2026-03-11 05:01:09
4,Cursor Genius,learning_scan,292,292,25.34,-2.6357,Profitable with TP:50% SL:15% Hold:30d,Current default: -46.4428% return,2026-03-06 00:13:31
5,ETF Masters,learning_scan,349,349,6.02,-5.8657,No profitable params found,Current default: -81.0613% return,2026-02-24 15:01:39
6,Sector Momentum,learning_scan,84,84,23.81,-2.732,No profitable params found,Current default: -19.266% return,2026-02-16 00:17:55
7,Sector Rotation,learning_scan,275,275,7.27,-4.5175,No profitable params found,Current default: -67.1381% return,2026-02-16 00:18:40
8,Technical Momentum,learning_scan,19,19,15.79,-5.1566,No profitable params found,Current default: -8.3325% return,2026-02-16 00:18:43
9,Volatility-Adjusted Momentum (V2),learning_scan,34,34,5.88,-4.009,No profitable params found,Current default: -10.7333% return,2026-02-16 00:18:47
10,Alpha Factor Composite,learning_scan,333,333,3.9,-10.0011,No profitable params found,Current default: -92.2296% return,2026-05-11 08:26:45
11,Alpha Factor Earnings,learning_scan,304,304,5.59,-9.4547,No profitable params found,Current default: -89.7579% return,2026-05-11 08:27:38
12,Alpha Factor Growth,learning_scan,343,343,8.45,-8.9655,No profitable params found,Current default: -90.0717% return,2026-05-11 08:28:38
13,Alpha Factor Low Vol,learning_scan,360,360,3.06,-9.7627,No profitable params found,Current default: -93.2668% return,2026-05-11 08:29:39
14,Alpha Factor Momentum,learning_scan,344,344,5.52,-8.5804,No profitable params found,Current default: -89.4108% return,2026-05-11 08:30:38
15,Alpha Factor Quality,learning_scan,329,329,6.69,-8.491,No profitable params found,Current default: -87.7699% return,2026-04-21 23:56:04
16,Alpha Factor Safe Bets,learning_scan,314,314,3.82,-8.0749,No profitable params found,Current default: -86.6456% return,2026-03-30 02:03:12
17,Alpha Factor Value,learning_scan,266,266,4.51,-6.8197,No profitable params found,Current default: -77.9452% return,2026-03-17 00:05:34
18,CAN SLIM,learning_scan,4,4,50.0,-0.3519,Profitable with TP:20% SL:8% Hold:14d,Current default: -0.3692% return,2026-03-11 05:01:06
19,Regime-Aware Reversion (V2),learning_scan,8,8,0.0,-6.7042,No profitable params found,Current default: -4.6778% return,2026-02-18 23:59:42
20,Alpha Predator,learning_scan,19,19,47.37,-0.6968,Profitable with TP:15% SL:3% Hold:30d,Current default: -1.3568% return,2026-03-17 00:05:37
21,13F Hedge Fund Clone,learning_scan,153,153,29.41,-2.8388,No profitable params found,Current default: -29.3327% return,2026-05-11 08:25:45
22,Multi-Factor AIPT,learning_scan,211,211,18.96,-3.9849,No profitable params found,Current default: -47.7411% return,2026-02-19 23:59:26
23,PEAD Earnings Drift,learning_scan,147,147,30.61,-2.9767,No profitable params found,Current default: -30.7164% return,2026-02-18 23:59:40
