asset_class,day_of_week,n_picks,avg_return_pct,win_rate_pct,total_pnl_pct
CRYPTO,Monday,1781,-16.9242,30.83,-30142.04
CRYPTO,Tuesday,1585,-3.3744,48.83,-5348.43
CRYPTO,Wednesday,2550,-13.8514,28.51,-35321.08
CRYPTO,Thursday,1552,-12.5114,37.31,-19417.73
CRYPTO,Friday,2415,-9.4164,36.85,-22740.5
CRYPTO,Saturday,3349,-12.1659,35.38,-40743.46
CRYPTO,Sunday,2815,-12.7473,35.84,-35883.54
MEMECOIN,Monday,61,-7.8539,40.98,-479.09
MEMECOIN,Tuesday,57,-5.1304,35.09,-292.43
MEMECOIN,Wednesday,127,-6.491,33.07,-824.36
MEMECOIN,Thursday,63,10.8352,53.97,682.62
MEMECOIN,Friday,47,-11.0536,40.43,-519.52
MEMECOIN,Saturday,209,-15.4573,38.28,-3230.58
MEMECOIN,Sunday,156,-12.8543,41.67,-2005.28
EQUITY,Tuesday,4,2.0275,50.0,8.11
EQUITY,Wednesday,26,0.3315,50.0,8.62
EQUITY,Friday,8,0.0,0.0,0.0
EQUITY,Saturday,1,-0.6654,0.0,-0.67
FOREX,Monday,3,-4.8267,33.33,-14.48
FOREX,Tuesday,34,-0.9485,52.94,-32.25
FOREX,Wednesday,13,-8.1468,30.77,-105.91
FOREX,Thursday,13,-0.2566,76.92,-3.34
FOREX,Friday,59,0.7172,42.37,42.32
FOREX,Saturday,88,-0.0198,2.27,-1.74
FUTURES,Tuesday,12,-1.24,33.33,-14.88
FUTURES,Wednesday,2,-3.097,0.0,-6.19
FUTURES,Thursday,9,2.5587,66.67,23.03
FUTURES,Friday,56,-0.2028,30.36,-11.36
FUTURES,Saturday,91,-0.5994,3.3,-54.55
ALL,Monday,1849,-16.5667,31.26,-30631.83
ALL,Tuesday,1709,-3.3722,48.04,-5763.13
ALL,Wednesday,2726,-13.314,28.83,-36293.88
ALL,Thursday,1638,-11.4294,38.4,-18721.42
ALL,Friday,2588,-8.9757,36.75,-23229.06
ALL,Saturday,3746,-11.7559,33.98,-44037.71
ALL,Sunday,2974,-12.7591,36.15,-37945.57
