source_file,symbol,asset_class,old_pnl,old_status,old_reason,new_pnl,new_status,new_reason,applied
alpha_engine\data\closed_picks.json,CT=F,COMMODITY,-0.032776,LOST,SL_HIT,-0.032776,LOST,SL_HIT_REPLAY,False
alpha_engine\data\closed_picks.json,CT=F,COMMODITY,-0.032776,LOST,SL_HIT,-0.032776,LOST,SL_HIT_REPLAY,False
alpha_engine\data\closed_picks.json,PEP,EQUITY,-0.020251,LOST,SL_HIT,-0.020251,LOST,SL_HIT_REPLAY,False
alpha_engine\data\closed_picks.json,KC=F,COMMODITY,-0.049054,LOST,SL_HIT,-0.03869,LOST,TIME_EXIT_REPLAY,False
alpha_engine\data\closed_picks.json,GBPJPY=X,FOREX,0.003415,WON,TP_HIT,0.003415,WON,TP_HIT_REPLAY,False
alpha_engine\data\closed_picks.json,KC=F,COMMODITY,-0.01,LOST,SL_HIT,-0.01,LOST,SL_HIT_REPLAY,False
alpha_engine\data\closed_picks.json,NZDUSD=X,FOREX,-0.001999,LOST,SL_HIT,0.003,WON,TP_HIT_REPLAY,False
alpha_engine\data\closed_picks.json,KC=F,COMMODITY,-0.01,LOST,SL_HIT,-0.01,LOST,SL_HIT_REPLAY,False
alpha_engine\data\closed_picks.json,CT=F,COMMODITY,-0.033315,LOST,SL_HIT,-0.033315,LOST,SL_HIT_REPLAY,False
alpha_engine\data\closed_picks.json,CT=F,COMMODITY,-0.033315,LOST,SL_HIT,-0.033315,LOST,SL_HIT_REPLAY,False
alpha_engine\data\closed_picks.json,CT=F,COMMODITY,-0.033315,LOST,SL_HIT,-0.033315,LOST,SL_HIT_REPLAY,False
alpha_engine\data\closed_picks.json,GBPJPY=X,FOREX,-0.015,LOST,SL_HIT,-0.015,LOST,SL_HIT_REPLAY,False
alpha_engine\data\closed_picks.json,EURGBP=X,CRYPTO,-0.02,LOST,SL_HIT,-0.02,LOST,SL_HIT_REPLAY,False
alpha_engine\data\closed_picks.json,EURGBP=X,CRYPTO,-0.02,LOST,SL_HIT,-0.02,LOST,SL_HIT_REPLAY,False
alpha_engine\data\closed_picks.json,EURGBP=X,CRYPTO,0.03,WON,TP_HIT,0.03,WON,TP_HIT_REPLAY,False
alpha_engine\data\closed_picks.json,GBPJPY=X,FOREX,-0.001776,LOST,PRICE_RESOLVED,-0.001692,LOST,TIME_EXIT_REPLAY,False
alpha_engine\data\closed_picks.json,EURGBP=X,FOREX,-0.002344,LOST,PRICE_RESOLVED,-3.5e-05,FLAT,TIME_EXIT_REPLAY,False
alpha_engine\data\closed_picks.json,CVX,EQUITY,0.01037,WON,TIME_EXPIRY,0.05,WON,TP_HIT_REPLAY,False
alpha_engine\data\closed_picks.json,JNJ,EQUITY,-0.013828,LOST,TIME_EXPIRY,-0.014478,LOST,TIME_EXIT_REPLAY,False
alpha_engine\data\closed_picks.json,PEP,EQUITY,0.035,WON,TP_HIT,0.035,WON,TP_HIT_REPLAY,False
alpha_engine\data\closed_picks.json,NZDUSD=X,FOREX,0.003,WON,TP_HIT,0.003,WON,TP_HIT_REPLAY,False
alpha_engine\data\closed_picks.json,CT=F,COMMODITY,-0.032087,LOST,SL_HIT,-0.032087,LOST,SL_HIT_REPLAY,False
alpha_engine\data\closed_picks.json,CT=F,COMMODITY,-0.032087,LOST,SL_HIT,-0.032087,LOST,SL_HIT_REPLAY,False
alpha_engine\data\closed_picks.json,USDCAD=X,FOREX,0.006347,WON,TP_HIT,0.006347,WON,TP_HIT_REPLAY,False
alpha_engine\data\closed_picks.json,CT=F,COMMODITY,-0.031105,LOST,SL_HIT,-0.031105,LOST,SL_HIT_REPLAY,False
alpha_engine\data\closed_picks.json,CT=F,COMMODITY,-0.031105,LOST,SL_HIT,-0.031105,LOST,SL_HIT_REPLAY,False
alpha_engine\data\closed_picks_fast.json,AUDJPY=X,FOREX,-0.006163,LOST,SL_HIT,0.030948,WON,TP_HIT_REPLAY,False
alpha_engine\data\closed_picks_fast.json,AUDJPY=X,FOREX,-0.009368,LOST,SL_HIT,0.02504,WON,TP_HIT_REPLAY,False
alpha_engine\data\closed_picks_fast.json,AUDJPY=X,FOREX,-0.009267,LOST,SL_HIT,-0.009267,LOST,SL_HIT_REPLAY,False
alpha_engine\data\closed_picks_fast.json,COIN,CRYPTO,0.005806,WON,TIME_EXPIRY,0.167776,WON,TP_HIT_REPLAY,False
alpha_engine\data\closed_picks_fast.json,EURUSD=X,FOREX,-0.00905,LOST,SL_HIT,0.022633,WON,TP_HIT_REPLAY,False
alpha_engine\data\closed_picks_fast.json,USDCAD=X,FOREX,-0.001241,LOST,SL_HIT,-0.001241,LOST,SL_HIT_REPLAY,False
alpha_engine\data\closed_picks_fast.json,EURUSD=X,FOREX,-0.011291,LOST,SL_HIT,0.022668,WON,TP_HIT_REPLAY,False
alpha_engine\data\closed_picks_fast.json,GBPUSD=X,FOREX,-0.008198,LOST,SL_HIT,-0.008198,LOST,SL_HIT_REPLAY,False
alpha_engine\data\closed_picks_fast.json,NZDUSD=X,FOREX,-0.012084,LOST,SL_HIT,-0.012084,LOST,SL_HIT_REPLAY,False
alpha_engine\data\closed_picks_fast.json,EURUSD=X,FOREX,-0.008133,LOST,SL_HIT,-0.008133,LOST,SL_HIT_REPLAY,False
alpha_engine\data\closed_picks_fast.json,EURJPY=X,FOREX,-0.00698,LOST,SL_HIT,-0.00698,LOST,SL_HIT_REPLAY,False
alpha_engine\data\closed_picks_fast.json,NZDUSD=X,FOREX,-0.013097,LOST,SL_HIT,-0.012084,LOST,SL_HIT_REPLAY,False
alpha_engine\data\closed_picks_fast.json,GBPUSD=X,FOREX,-0.009206,LOST,SL_HIT,-0.008198,LOST,SL_HIT_REPLAY,False
