strategy,asset_class,direction,n,wr_pct,sum_pnl_pct,mean_pnl_pct,std_pnl_pct,sharpe,sortino,max_dd_pct,calmar,profit_factor
luxalgo_confluence,CRYPTO,SHORT,103,52.43,45.7495,0.4442,1.9912,3.541,9.5712,29.715,59.9698,1.6231
claude_ml_moderate_mut,CRYPTO,LONG,39,58.97,31.58,0.8097,1.9762,6.5046,50.1882,5.28,218.1219,2.3082
Breakout Momentum,EQUITY,LONG,38,57.89,31.14,0.8195,4.5014,2.8899,6.9828,12.0,947.175,1.5284
luxalgo_confluence,CRYPTO,LONG,99,46.46,27.5167,0.2779,2.0158,2.1888,8.0553,25.1376,48.2963,1.3611
Bollinger MR,EQUITY,LONG,58,44.83,25.11,0.4329,3.9398,1.7444,4.0036,3.0,3055.05,1.3087
"strong consensus (alpha_engine, ml_crypto_pred)",CRYPTO,LONG,92,47.83,24.3468,0.2646,2.8629,1.4674,3.2947,70.2447,60.5303,1.2464
stocks_rsi2_pullback,EQUITY,LONG,38,55.26,4.6775,0.1231,2.6452,0.7387,1.3458,18.3913,3.1044,1.148
forex_rsi2_mean_reversion,FOREX,LONG,202,47.03,0.9418,0.0047,0.1513,0.4892,0.6387,2.7324,4.0231,1.1154
cta_cross_asset_tsmom,FOREX,LONG,39,43.59,0.7987,0.0205,0.2677,1.2143,1.5095,1.2018,16.405,1.2345
non_crypto_consensus,FOREX,SHORT,87,59.77,0.0328,0.0004,0.0016,3.6354,6.0344,0.0093,73.9609,2.0314
forex_rsi2_mean_reversion,FOREX,SHORT,296,47.97,-0.4779,-0.0016,0.107,-0.2395,-0.2432,4.15,-1.351,0.924
cta_cross_asset_tsmom,COMMODITY,SHORT,31,38.71,-2.9457,-0.095,0.5393,-2.797,-2.0768,3.0402,-19.3605,0.0456
cta_commodity_momentum_term,COMMODITY,LONG,46,36.96,-4.2891,-0.0932,0.6224,-2.3782,-1.8578,0.0791,-1853.0085,0.0247
ensemble,CRYPTO,LONG,38,34.21,-4.6545,-0.1225,1.9545,-0.9948,-2.4423,17.6471,-10.502,0.8657
futures_momentum,COMMODITY,LONG,248,46.37,-6.2136,-0.0251,0.3499,-1.1368,-0.8679,9.1786,-8.3265,0.3718
futures_momentum,COMMODITY,SHORT,252,40.87,-7.7091,-0.0306,1.0688,-0.4544,-0.6263,34.8521,-2.3625,0.8978
quan_engine,CRYPTO,LONG,158,29.11,-11.1648,-0.0707,0.473,-2.3715,-8.1347,23.1161,-111.0122,0.7115
quan_engine,CRYPTO,SHORT,156,31.41,-12.8524,-0.0824,0.374,-3.4972,-10.2404,21.3815,-138.224,0.6034
Classic Momentum,EQUITY,LONG,41,36.59,-15.38,-0.3751,5.7741,-1.0313,-3.2113,0.0,0.0,0.8437
unknown,CRYPTO,LONG,33,27.27,-26.7769,-0.8114,4.0755,-3.1606,-3.2049,18.0409,-9.1315,0.4828
rsi_bounce,CRYPTO,LONG,30,36.67,-28.8275,-0.9609,3.2599,-4.6793,-5.3749,34.337,-25.4949,0.4162
unknown,CRYPTO,SHORT,37,8.11,-29.0,-0.7838,1.1579,-10.745,-57.7951,32.0,-31.9021,0.2368
macd_rsi_confluence,CRYPTO,LONG,176,34.09,-89.3324,-0.5076,2.93,-2.75,-7.6222,92.4893,-28.538,0.6568
