time,open,high,low,close,Volume,Histogram,MACD,Signal line,MACD,Signal
1754006400,172.22,172.26,170.62,170.95,226499.24,,,,,
1754007300,170.96,171.93,170.5,171.1,39881.777,,,,,
1754008200,171.09,171.24,170.17,170.02,71727.03,,,,,
1754009100,170.02,170.57,167.42,170.31,231501.215,,,,,
1754010000,170.3,170.89,168.34,168.53,68648.72,,,,,
1754010900,168.52,169.94,167.95,169.65,102634.806,,,,,
1754011800,169.65,170.49,169.01,170.31,38657.082,,,,,
1754012700,170.3,170.65,168.89,169.54,40503.416,,,,,
1754013600,169.54,171.19,169.2,171.17,42858.34,,,,,
1754014500,171.17,171.84,170.94,171.06,49253.219,,,,,
1754015400,171.06,171.71,170.81,171.21,26070.337,,,,,
1754016300,171.21,171.71,171.03,171.43,18356.234,,,,,
1754017200,171.43,171.53,170.96,171.33,18526.247,,,,,
1754018100,171.33,172.18,171.29,172.08,25350.77,,,,,
1754019000,172.08,172.19,171.59,171.83,17683.699,,,,,
1754019900,171.84,172.17,171.14,171.14,12555.416,,,,,
1754020800,171.14,171.14,169.72,170.12,37716.574,,,,,
1754021700,170.12,170.25,169.27,169.86,38030.881,,,,,
1754022600,169.85,170.39,169.52,170.1,17057.564,,,,,
1754023500,170.09,170.19,169.54,169.67,14968.261,,,,,
1754024400,169.67,170.3,169.43,169.99,15711.216,,,,,
1754025300,169.99,170.68,169.76,169.05,28298.777,,,,,
1754026200,169.06,169.77,168.3,169.03,31273.126,,,,,
1754027100,169.02,169.23,168.21,169.12,19532.505,,,,,
1754028000,169.13,169.37,168.05,168.45,24937.788,,,,,
1754028900,168.45,168.81,167.96,168.12,23515.34,,-0.7815071266844882,,-0.7815071266844882,
1754029800,168.12,168.86,168.01,168.19,32203.872,,-0.8215250966751739,,-0.8215250966751739,
1754030700,168.18,169.63,168.169,168.53,28203.977,,-0.7366215108083338,,-0.7366215108083338,
1754031600,169.53,169.94,168.79,169.19,31776.476,,-0.6888295673421965,,-0.6888295673421965,
1754032500,169.19,169.74,168.8,168.85,37978.938,,-0.6706583345143997,,-0.6706583345143997,
1754033400,168.86,169.36,168.23,169.23,34106.629,,-0.6184653933015625,,-0.6184653933015625,
1754034300,169.23,169.48,168.58,169.4,37232.699,,-0.5569641955615623,,-0.5569641955615623,
1754035200,169.41,169.41,166.19,167.28,101150.168,,-0.671549135274546,,-0.671549135274546,
1754036100,167.21,168.06,166.67,167.25,54633.499,-0.055821152413336184,-0.756063841485286,-0.7002426890719499,-0.756063841485286,-0.7002426890719499
1754037000,167.25,168.3,166.53,168.11,56579.804,-0.03585302185547845,-0.7450589663912979,-0.7092059445358194,-0.7450589663912979,-0.7092059445358194
1754037900,168.1,168.61,167.61,167.62,20051.964,-0.046262869868637146,-0.7670345318716159,-0.7207716620029787,-0.7670345318716159,-0.7207716620029787
1754038800,167.61,168.97,167.43,167.76,61805.472,-0.03485677425297451,-0.7643426298191969,-0.7294858555662224,-0.7643426298191969,-0.7294858555662224
1754039700,167.77,168.46,167.61,167.95,35877.938,-0.007104465365479706,-0.738366437273072,-0.7312619719075923,-0.738366437273072,-0.7312619719075923
1754040600,167.96,168.4,167.6,168.37,30192.718,0.04413276662334609,-0.6760960136284098,-0.7202287802517559,-0.6760960136284098,-0.7202287802517559
1754041500,168.36,168.36,167.2,167.34,23975.701,0.014767753029250263,-0.7017690889651931,-0.7165368419944433,-0.7017690889651931,-0.7165368419944433
1754042400,167.35,168.36,167.08,168.33,18602.609,0.06530019818010524,-0.6349115942693118,-0.700211792449417,-0.6349115942693118,-0.700211792449417
1754043300,168.32,168.6,167.89,168.14,17423.465,0.08780815266018849,-0.5904516016241814,-0.6782597542843699,-0.5904516016241814,-0.6782597542843699
1754044200,168.14,168.63,167.87,168.52,16550.288,0.12774693098037992,-0.518576090558895,-0.6463230215392749,-0.518576090558895,-0.6463230215392749
1754045100,168.52,168.75,167.94,168.6,19290.001,0.15708089499555689,-0.4499719027948288,-0.6070527987903857,-0.4499719027948288,-0.6070527987903857
1754046000,168.59,168.72,167.88,168.51,13083.193,0.1670232100051049,-0.3982737852840046,-0.56529681425679853,-0.3982737852840046,-0.56529681425679853
1754046900,168.51,168.66,167.8,168.05,27787.462,0.1402968072214148,-0.389925986262341,-0.5302227934837558,-0.389925986262341,-0.5302227934837558
1754047800,168.05,168.66,167.8,168.52,28426.272,0.15101886726091357,-0.3414492094076138,-0.4924680766685274,-0.3414492094076138,-0.4924680766685274
1754048700,168.52,169.23,168.49,169.2,23492.974,0.1977083370513108,-0.24533265535438886,-0.44304099240569966,-0.24533265535438886,-0.44304099240569966
1754049600,169.19,169.76,168.94,169.4,24904.027,0.23341084738705214,-0.15127743317188447,-0.3846882805589366,-0.15127743317188447,-0.3846882805589366
1754050500,169.41,169.41,168.55,169.15,19874.201,0.23110542054866123,-0.09580650487311004,-0.3269119254217713,-0.09580650487311004,-0.3269119254217713
1754051400,169.16,170.35,168.37,169.8,59575.814,0.2620073707447113,0.0005972880091178467,-0.26141008273559346,0.0005972880091178467,-0.26141008273559346
1754052300,169.81,169.81,168.81,169.02,39702.03,0.2202467031839769,0.013898296244377661,-0.20634840693959924,0.013898296244377661,-0.20634840693959924
1754053200,169.02,169.94,168.79,169.19,31776.476,0.2118490641533886,0.058462923252136534,-0.15338614090125208,0.058462923252136534,-0.15338614090125208
1754054100,169.19,169.74,168.8,168.85,37978.938,0.2056583345143997,-0.0706583345143997,-0.1356583345143997
1754033400,168.86,169.36,168.23,169.23,34106.629,0.2118490641533886,0.058462923252136534,-0.15338614090125208,0.058462923252136534,-0.15338614090125208
1754054300,169.23,169.48,168.58,169.4,37232.699,0.2218441955615625,-0.5569641955615625,-0.6782597542843699,-0.5569641955615625,-0.6782597542843699
1754054400,169.41,169.41,166.19,167.28,101150.168,0.04413276662334609,-0.6760960136284098,-0.7202287802517559,-0.6760960136284098,-0.7202287802517559
1754054500,167.21,168.06,166.67,167.25,54633.499,-0.055821152413336184,-0.756063841485286,-0.7002426890719499,-0.756063841485286,-0.7002426890719499
1754054600,167.25,168.3,166.53,168.11,56579.804,-0.03585302185547845,-0.7450589663912979,-0.7092059445358194,-0.7450589663912979,-0.7092059445358194
1754054700,168.1,168.61,167.61,167.62,20051.964,-0.046262869868637146,-0.7670345318716159,-0.7207716620029787,-0.7670345318716159,-0.7207716620029787
1754054800,167.61,168.97,167.43,167.76,61805.472,-0.03485677425297451,-0.7643426298191969,-0.7294858555662224,-0.7643426298191969,-0.7294858555662224
1754054900,167.77,168.46,167.61,167.95,35877.938,-0.007104465365479706,-0.738366437273072,-0.7312619719075923,-0.738366437273072,-0.7312619719075923
1754055000,167.96,168.4,167.6,168.37,30192.718,0.04413276662334609,-0.6760960136284098,-0.7202287802517559,-0.6760960136284098,-0.7202287802517559
1754055100,168.36,168.36,167.2,167.34,23975.701,0.014767753029250263,-0.7017690889651931,-0.7165368419944433,-0.7017690889651931,-0.7165368419944433
1754055200,167.35,168.36,167.08,168.33,18602.609,0.06530019818010524,-0.6349115942693118,-0.700211792449417,-0.6349115942693118,-0.700211792449417
1754055300,168.32,168.6,167.89,168.14,17423.465,0.08780815266018849,-0.5904516016241814,-0.6782597542843699,-0.5904516016241814,-0.6782597542843699
1754055400,168.14,168.63,167.87,168.52,16550.288,0.12774693098037992,-0.518576090558895,-0.6463230215392749,-0.518576090558895,-0.6463230215392749
1754055500,168.52,168.75,167.94,168.6,19290.001,0.15708089499555689,-0.4499719027948288,-0.6070527987903857,-0.4499719027948288,-0.6070527987903857
1754055600,168.59,168.72,167.88,168.51,13083.193,0.1670232100051049,-0.3982737852840046,-0.56529681425679853,-0.3982737852840046,-0.56529681425679853
1754055700,168.51,168.66,167.8,168.05,27787.462,0.1402968072214148,-0.389925986262341,-0.5302227934837558,-0.389925986262341,-0.5302227934837558
1754055800,168.05,168.66,167.8,168.52,28426.272,0.15101886726091357,-0.3414492094076138,-0.4924680766685274,-0.3414492094076138,-0.4924680766685274
1754055900,168.52,169.23,168.49,169.2,23492.974,0.1977083370513108,-0.24533265535438886,-0.44304099240569966,-0.24533265535438886,-0.44304099240569966
