"FullName","Length","LastWriteTime"
"C:\findtorontoevents_antigravity.ca\signals_database.json","562101","2026-05-23 6:24:09 PM"
"C:\findtorontoevents_antigravity.ca\alpha_engine\data\commodity_cot_contrarian_signals.json","11438","2026-05-23 5:20:37 AM"
"C:\findtorontoevents_antigravity.ca\alpha_engine\data\connors_rsi2_signals.json","884","2026-05-23 5:20:37 AM"
"C:\findtorontoevents_antigravity.ca\alpha_engine\data\cot_signals.json","749","2026-05-23 5:20:37 AM"
"C:\findtorontoevents_antigravity.ca\alpha_engine\data\etherscan_whale_signals.json","2014","2026-05-23 5:20:37 AM"
"C:\findtorontoevents_antigravity.ca\alpha_engine\data\funding_rate_signals.json","4675","2026-05-23 5:20:37 AM"
"C:\findtorontoevents_antigravity.ca\alpha_engine\data\kalshi_signals.json","7295","2026-05-23 9:26:01 PM"
"C:\findtorontoevents_antigravity.ca\alpha_engine\data\polymarket_signals.json","3491","2026-05-23 9:26:01 PM"
"C:\findtorontoevents_antigravity.ca\alpha_engine\data\premium_signals.json","1241855","2026-05-23 8:00:40 PM"
"C:\findtorontoevents_antigravity.ca\alpha_engine\data\sports_prediction_market_signals.json","15004","2026-05-23 6:10:22 PM"
"C:\findtorontoevents_antigravity.ca\alpha_engine\data\strong_signals.json","74726","2026-05-23 7:18:14 PM"
"C:\findtorontoevents_antigravity.ca\alpha_engine\data\usd_strength_signals.json","435","2026-05-23 5:20:38 AM"
"C:\findtorontoevents_antigravity.ca\audit_dashboard\data\strong_signals.json","108468","2026-05-23 5:20:39 AM"
"C:\findtorontoevents_antigravity.ca\backfill\sports_prediction_market_signals.json","15004","2026-05-23 6:10:22 PM"
"C:\findtorontoevents_antigravity.ca\battleground\data\chatgpt_combined_signals.json","10075","2026-05-23 5:20:39 AM"
"C:\findtorontoevents_antigravity.ca\battleground\data\incubator_signals.json","194","2026-05-23 5:20:39 AM"
"C:\findtorontoevents_antigravity.ca\battleground\incubator\forward_signals\smc_fvg_signals.json","2127","2026-05-23 5:20:39 AM"
"C:\findtorontoevents_antigravity.ca\copy_trader_intel\data\sentiment_signals.json","7970","2026-05-23 5:20:39 AM"
"C:\findtorontoevents_antigravity.ca\cross_aggregation\data\super_signals.json","98490","2026-05-23 8:24:09 PM"
"C:\findtorontoevents_antigravity.ca\incubator\backtest_results\forward_signals.json","103025","2026-05-23 9:26:01 PM"
"C:\findtorontoevents_antigravity.ca\KIMI_FEB172026\data\latest_signals.json","599","2026-05-23 8:40:00 PM"
"C:\findtorontoevents_antigravity.ca\KIMI_RISEOFTHECLAW\data\forward_signals_current.json","26575","2026-05-23 5:20:37 AM"
"C:\findtorontoevents_antigravity.ca\KIMI_RISEOFTHECLAW\data\live_signals_now.json","10236","2026-05-23 9:26:01 PM"
"C:\findtorontoevents_antigravity.ca\prediction_market_agents\data\btc_updown_signals.json","779","2026-05-23 5:20:58 AM"
"C:\findtorontoevents_antigravity.ca\prediction_market_agents\data\consensus_signals.json","6819","2026-05-23 9:26:01 PM"
"C:\findtorontoevents_antigravity.ca\prediction_market_agents\data\kalshi_signals.json","11095","2026-05-23 9:26:01 PM"
"C:\findtorontoevents_antigravity.ca\prediction_market_agents\data\momentum_signals.json","173","2026-05-23 9:26:01 PM"
"C:\findtorontoevents_antigravity.ca\prediction_market_agents\data\whale_signals.json","14611","2026-05-23 9:26:01 PM"
"C:\findtorontoevents_antigravity.ca\public\alpha_signals_sample.json","1843","2026-05-23 5:20:58 AM"
"C:\findtorontoevents_antigravity.ca\quan_engine\data\active_signals.json","74443","2026-05-23 9:26:01 PM"
"C:\findtorontoevents_antigravity.ca\regime_terminal\data\active_signals.json","2430","2026-05-23 8:40:00 PM"
"C:\findtorontoevents_antigravity.ca\riseoftheclaw\data\live_signals_now.json","10236","2026-05-23 8:48:55 PM"
"C:\findtorontoevents_antigravity.ca\schemas\alpha_signals_schema.json","1378","2026-05-23 5:20:59 AM"
"C:\findtorontoevents_antigravity.ca\signal_aggregator\data\consensus_signals.json","92","2026-05-23 5:20:59 AM"
"C:\findtorontoevents_antigravity.ca\tmp\mql5_forex_signals.json","1128","2026-05-23 5:21:00 AM"
"C:\findtorontoevents_antigravity.ca\tools\data\trading_agents_signals.json","155","2026-05-23 5:21:00 AM"
"C:\findtorontoevents_antigravity.ca\tools\kimi_research_2026_05_20\alpha_engine\bond_premium_signals.json","709418","2026-05-23 5:21:00 AM"
"C:\findtorontoevents_antigravity.ca\tools\kimi_research_2026_05_20\alpha_engine\bond_signals_for_audit.json","2399","2026-05-23 5:21:00 AM"
